time R11 R12 R13 R21 R22 R23 R31 R32 R33
0.000000000000000000e+00 1.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.000040001600064482e-03 9.999999998766101461e-01 -1.570921997976653775e-05 0.000000000000000000e+00 1.570921997976653775e-05 9.999999998766101461e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
2.000080003200124627e-03 9.999999980257632259e-01 -6.283687988029874048e-05 0.000000000000000000e+00 6.283687988029874048e-05 9.999999980257632259e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
3.000120004800184773e-03 9.999999900054263868e-01 -1.413829793526922413e-04 0.000000000000000000e+00 1.413829793526922413e-04 9.999999900054263868e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
4.000160006400246653e-03 9.999999684122121701e-01 -2.513475170400970610e-04 0.000000000000000000e+00 2.513475170400970610e-04 9.999999684122121701e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
5.000200008000328482e-03 9.999999228813782892e-01 -3.927304894147057995e-04 0.000000000000000000e+00 3.927304894147057995e-04 9.999999228813782892e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
6.000240009600410311e-03 9.999998400868281845e-01 -5.655318891495254678e-04 0.000000000000000000e+00 5.655318891495254678e-04 9.999998400868281845e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
7.000280011200492140e-03 9.999997037411139100e-01 -7.697517030249594787e-04 0.000000000000000000e+00 7.697517030249594787e-04 9.999997037411139100e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
8.000320012800573102e-03 9.999994945954372438e-01 -1.005389909370174410e-03 0.000000000000000000e+00 1.005389909370174410e-03 9.999994945954372438e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
9.000360014400654932e-03 9.999991904396563491e-01 -1.272446475039266814e-03 0.000000000000000000e+00 1.272446475039266814e-03 9.999991904396563491e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
