time error_arcsec
0.000000000000000000e+00 0.000000000000000000e+00
5.000000000000000104e-03 -2.278939126432668516e+01
1.000000000000000021e-02 -2.514258548650512992e+01
1.499999999999999944e-02 -2.488010160523390368e+01
2.000000000000000042e-02 -2.449149433019533006e+01
2.500000000000000139e-02 -2.387999182681416954e+01
2.999999999999999889e-02 -2.300122532978478418e+01
3.500000000000000333e-02 -2.208377000774057919e+01
4.000000000000000083e-02 -2.101887451899691683e+01
4.499999999999999833e-02 -2.000066409649665999e+01
5.000000000000000278e-02 -1.920681873856991828e+01
5.500000000000000028e-02 -1.845079268864868993e+01
5.999999999999999778e-02 -1.766360066042551225e+01
6.500000000000000222e-02 -1.677675474627623942e+01
7.000000000000000666e-02 -1.572776883725256347e+01
7.499999999999999722e-02 -1.470656981151406661e+01
8.000000000000000167e-02 -1.357663368072055121e+01
8.500000000000000611e-02 -1.209956015218180703e+01
8.999999999999999667e-02 -1.089858040083681168e+01
9.500000000000000111e-02 -9.630277057906660332e+00
1.000000000000000056e-01 -8.084800625504545479e+00
1.049999999999999961e-01 -6.800693059854154399e+00
1.100000000000000006e-01 -5.409308505369441633e+00
1.150000000000000050e-01 -4.278464253492362701e+00
1.199999999999999956e-01 -3.154989530384959995e+00
1.250000000000000000e-01 -1.869194958846651433e+00
1.300000000000000044e-01 2.135857527534765765e+00
1.350000000000000089e-01 2.831780794275950086e+00
1.400000000000000133e-01 4.593274491383946057e+00
1.449999999999999900e-01 5.245411910264225597e+00
1.499999999999999944e-01 2.288064009096337870e+01
1.549999999999999989e-01 1.919146082117560326e+01
1.600000000000000033e-01 1.712802904280865235e+01
1.650000000000000078e-01 1.539310783217920964e+01
1.700000000000000122e-01 9.705902333901125445e+00
1.750000000000000167e-01 8.282380559938051334e+00
1.799999999999999933e-01 8.844298915901729785e+00
1.849999999999999978e-01 8.715903960645567494e+00
1.900000000000000022e-01 7.132351311205925803e+00
1.950000000000000067e-01 9.616310071552213401e+00
2.000000000000000111e-01 1.373324145796082085e+01
2.050000000000000155e-01 1.380689692534792634e+01
2.099999999999999922e-01 1.129234433482255184e+01
2.149999999999999967e-01 1.042670520813708279e+01
2.200000000000000011e-01 8.657317644378791144e+00
2.250000000000000056e-01 6.207908446065736108e+00
2.300000000000000100e-01 4.750478286994739285e+00
2.350000000000000144e-01 5.079420818371133350e+00
2.399999999999999911e-01 3.979122578525787102e+00
2.449999999999999956e-01 3.752410206507170276e+00
2.500000000000000000e-01 4.200770702896160280e+00
2.550000000000000044e-01 4.485635443284596846e+00
2.600000000000000089e-01 8.080792671902239377e+00
2.650000000000000133e-01 1.688507766546788957e+01
2.700000000000000178e-01 1.455435901776302465e+01
2.750000000000000222e-01 1.760601370085694839e+01
2.800000000000000266e-01 2.121808735753635489e+01
2.850000000000000311e-01 2.653147398647998756e+01
2.899999999999999800e-01 2.580517333396864998e+01
2.949999999999999845e-01 2.486359845516218314e+01
2.999999999999999889e-01 2.303474165145294350e+01
3.049999999999999933e-01 2.084163131328523377e+01
3.099999999999999978e-01 1.848297529194823596e+01
3.150000000000000022e-01 1.844059040107779879e+01
3.200000000000000067e-01 1.809057450044673487e+01
3.250000000000000111e-01 1.648613793346171619e+01
3.300000000000000155e-01 1.573189476676236964e+01
3.350000000000000200e-01 1.463267688543346878e+01
3.400000000000000244e-01 1.396736519956381528e+01
3.450000000000000289e-01 1.338353987459831451e+01
3.500000000000000333e-01 1.329516583857683898e+01
3.549999999999999822e-01 1.295578876059064477e+01
3.599999999999999867e-01 1.201246174588295901e+01
3.649999999999999911e-01 1.090551876869789183e+01
3.699999999999999956e-01 1.030297247060550880e+01
3.750000000000000000e-01 1.044760218628148785e+01
3.800000000000000044e-01 2.093936583703965937e+01
3.850000000000000089e-01 3.901531860089128401e+01
3.900000000000000133e-01 4.030126809452771397e+01
3.950000000000000178e-01 3.800965853958783924e+01
4.000000000000000222e-01 3.423567615916316242e+01
4.050000000000000266e-01 3.063587245539101289e+01
4.100000000000000311e-01 2.708528259402565297e+01
4.150000000000000355e-01 2.364935778083060214e+01
4.199999999999999845e-01 2.857841742004177732e+01
4.249999999999999889e-01 2.737013263316092804e+01
4.299999999999999933e-01 2.681000514574099469e+01
4.349999999999999978e-01 2.804203712366814116e+01
4.400000000000000022e-01 2.671874765736977153e+01
4.450000000000000067e-01 2.525017961226156871e+01
4.500000000000000111e-01 2.374074095725067934e+01
4.550000000000000155e-01 2.245244537222971459e+01
4.600000000000000200e-01 2.134537114732566110e+01
4.650000000000000244e-01 2.044087463744887856e+01
4.700000000000000289e-01 1.985014869984535935e+01
4.750000000000000333e-01 1.904377954949419660e+01
4.799999999999999822e-01 1.835451737219525370e+01
4.849999999999999867e-01 1.774041626721875531e+01
4.899999999999999911e-01 2.099134766717616429e+01
4.949999999999999956e-01 2.594875170222190519e+01
5.000000000000000000e-01 2.835728299294243371e+01
5.050000000000000044e-01 2.639424714379745751e+01
5.100000000000000089e-01 3.048022769311327451e+01
5.150000000000000133e-01 4.182959651351902153e+01
5.200000000000000178e-01 4.211403301834344859e+01
5.250000000000000222e-01 3.852002883342178308e+01
5.300000000000000266e-01 3.439744037099676888e+01
5.350000000000000311e-01 3.156681577380972215e+01
5.400000000000000355e-01 2.906761760579710696e+01
5.450000000000000400e-01 2.851286691490261305e+01
5.500000000000000444e-01 2.637603665164929367e+01
5.550000000000000488e-01 2.612146520516557402e+01
5.600000000000000533e-01 2.445657557366499191e+01
5.650000000000000577e-01 2.260864273473076125e+01
5.700000000000000622e-01 2.107060694738699880e+01
5.750000000000000666e-01 2.036613137953485264e+01
5.799999999999999600e-01 1.986655870191723849e+01
5.849999999999999645e-01 1.937706274295974040e+01
5.899999999999999689e-01 1.843145319073378374e+01
5.949999999999999734e-01 1.722241524771177623e+01
5.999999999999999778e-01 1.591612963952931104e+01
6.049999999999999822e-01 1.452216632896503867e+01
6.099999999999999867e-01 1.708877976595823966e+01
6.149999999999999911e-01 2.400956038196699893e+01
6.199999999999999956e-01 4.263572576557278637e+01
6.250000000000000000e-01 3.949781482550329059e+01
6.300000000000000044e-01 3.548592101332819482e+01
6.350000000000000089e-01 3.161637430695398265e+01
6.400000000000000133e-01 2.868372550803961119e+01
6.450000000000000178e-01 2.628788421250500917e+01
6.500000000000000222e-01 2.885319001777095238e+01
6.550000000000000266e-01 2.816365224169914327e+01
6.600000000000000311e-01 2.621948386879333270e+01
6.650000000000000355e-01 2.719928364982238023e+01
6.700000000000000400e-01 2.694872920188749177e+01
6.750000000000000444e-01 2.545501293538811538e+01
6.800000000000000488e-01 2.360244184090575459e+01
6.850000000000000533e-01 2.218441514401459713e+01
6.900000000000000577e-01 2.107970716781020926e+01
6.950000000000000622e-01 1.938755064406557693e+01
7.000000000000000666e-01 1.707622753517935976e+01
7.049999999999999600e-01 1.532387490773064975e+01
7.099999999999999645e-01 1.407804240704274434e+01
7.149999999999999689e-01 1.323553103019219535e+01
7.199999999999999734e-01 1.225632914183272071e+01
7.249999999999999778e-01 1.620736743240285094e+01
7.299999999999999822e-01 2.427680657980284806e+01
7.349999999999999867e-01 2.139366981863405925e+01
7.399999999999999911e-01 1.861470169476327285e+01
7.449999999999999956e-01 3.162128261673924001e+01
7.500000000000000000e-01 3.197220024960202167e+01
7.550000000000000044e-01 3.264354309881312588e+01
7.600000000000000089e-01 2.885811707384529257e+01
7.650000000000000133e-01 2.580994426438162392e+01
7.700000000000000178e-01 2.283427522010304855e+01
7.750000000000000222e-01 2.053253880228844963e+01
7.800000000000000266e-01 2.229011002548180542e+01
7.850000000000000311e-01 2.138119440085465683e+01
7.900000000000000355e-01 1.970275328681724858e+01
7.950000000000000400e-01 1.770048720625239724e+01
8.000000000000000444e-01 1.520667369497481403e+01
8.050000000000000488e-01 1.300850877186791443e+01
8.100000000000000533e-01 1.082552156380261010e+01
8.150000000000000577e-01 8.328127272352420007e+00
8.200000000000000622e-01 4.053444442411722193e+00
8.250000000000000666e-01 1.287522295006389816e+00
8.300000000000000711e-01 -3.712905604912146440e-02
8.349999999999999645e-01 -1.679530556405818942e+00
8.399999999999999689e-01 -2.053342345637933608e+00
8.449999999999999734e-01 -1.340211087527675593e+00
8.499999999999999778e-01 4.829910205437496273e+00
8.549999999999999822e-01 2.455821157278112921e+01
8.599999999999999867e-01 2.099647330026612124e+01
8.649999999999999911e-01 1.485499352028105946e+01
8.699999999999999956e-01 7.541021830174775786e+00
8.750000000000000000e-01 9.117813783824173512e+00
8.800000000000000044e-01 5.484732647672365680e+00
8.850000000000000089e-01 2.946986558685540381e+00
8.900000000000000133e-01 7.517551343575298306e-01
8.950000000000000178e-01 3.176465661260533535e-01
9.000000000000000222e-01 -4.826742805607642239e-01
9.050000000000000266e-01 -8.656154476350845783e+00
9.100000000000000311e-01 -1.942500886854729103e+01
9.150000000000000355e-01 -1.918575754233190622e+01
9.200000000000000400e-01 -1.862681745816141188e+01
9.250000000000000444e-01 -1.872326386733188741e+01
9.300000000000000488e-01 -1.725049655251387648e+01
9.350000000000000533e-01 -1.546078025668554901e+01
9.400000000000000577e-01 -1.502127226532364013e+01
9.450000000000000622e-01 -1.363760416352895177e+01
9.500000000000000666e-01 -1.229006432369941137e+01
9.550000000000000711e-01 -1.060543445278283059e+01
9.599999999999999645e-01 -8.283291360658163072e+00
9.649999999999999689e-01 -7.912612235477736178e+00
9.699999999999999734e-01 -7.302896637254471024e+00
9.749999999999999778e-01 -7.232227042294943509e+00
9.799999999999999822e-01 -9.919811063906779580e+00
9.849999999999999867e-01 -9.674498664926865388e+00
9.899999999999999911e-01 -9.431464446985803107e+00
9.949999999999999956e-01 -8.526079627688931240e+00
1.000000000000000000e+00 -8.387404285162601170e+00
