time R11 R12 R13 R21 R22 R23 R31 R32 R33
0.000000000000000000e+00 1.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
5.045185536000001102e-03 9.999999921497391142e-01 1.253017219461427588e-04 0.000000000000000000e+00 -1.253017219461427588e-04 9.999999921497391142e-01 -0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.002813948395520245e-02 9.999999921587141571e-01 1.252300736029430953e-04 0.000000000000000000e+00 -1.252300736029430953e-04 9.999999921587141571e-01 -0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.513296441098240658e-02 9.999999943302649852e-01 1.064869466439878853e-04 0.000000000000000000e+00 -1.064869466439878853e-04 9.999999943302649852e-01 -0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
2.013296441098237979e-02 9.999999967501514986e-01 8.062069668798841119e-05 0.000000000000000000e+00 -8.062069668798841119e-05 9.999999967501514986e-01 -0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
2.513296441098234954e-02 9.999999988557146668e-01 4.783900393109419990e-05 0.000000000000000000e+00 -4.783900393109419990e-05 9.999999988557146668e-01 -0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
3.005296441098235724e-02 9.999999999685096341e-01 7.936036394964824319e-06 0.000000000000000000e+00 -7.936036394964824319e-06 9.999999999685096341e-01 -0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
3.517296441098232557e-02 9.999999991911591168e-01 -4.022041280701503643e-05 0.000000000000000000e+00 4.022041280701503643e-05 9.999999991911591168e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
4.017296441098229531e-02 9.999999955108296312e-01 -9.475410550412074724e-05 0.000000000000000000e+00 9.475410550412074724e-05 9.999999955108296312e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
4.500953657098231281e-02 9.999999891961327547e-01 -1.469956943802517820e-04 0.000000000000000000e+00 1.469956943802517820e-04 9.999999891961327547e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
5.004475771542424289e-02 9.999999753628681098e-01 -2.219780688471044037e-04 0.000000000000000000e+00 2.219780688471044037e-04 9.999999753628681098e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
5.516566187343755617e-02 9.999999556798490064e-01 -2.977252081862366822e-04 0.000000000000000000e+00 2.977252081862366822e-04 9.999999556798490064e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
6.015630831699424891e-02 9.999999284837923774e-01 -3.781962583673291272e-04 0.000000000000000000e+00 3.781962583673291272e-04 9.999999284837923774e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
6.515630831699431580e-02 9.999998913574961179e-01 -4.661383868766460635e-04 0.000000000000000000e+00 4.661383868766460635e-04 9.999998913574961179e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
7.015630831699445902e-02 9.999998430426781937e-01 -5.602808392940539835e-04 0.000000000000000000e+00 5.602808392940539835e-04 9.999998430426781937e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
7.515630831699460224e-02 9.999997804848328453e-01 -6.625936053109708927e-04 0.000000000000000000e+00 6.625936053109708927e-04 9.999997804848328453e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
8.015630831699474546e-02 9.999997017554262957e-01 -7.723270409511525780e-04 0.000000000000000000e+00 7.723270409511525780e-04 9.999997017554262957e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
8.515630831699488867e-02 9.999996040041482237e-01 -8.899390689303396992e-04 0.000000000000000000e+00 8.899390689303396992e-04 9.999996040041482237e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
9.015630831699503189e-02 9.999994874493520758e-01 -1.012472732005552031e-03 0.000000000000000000e+00 1.012472732005552031e-03 9.999994874493520758e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
9.515630831699517511e-02 9.999993489597363006e-01 -1.141087246214138318e-03 0.000000000000000000e+00 1.141087246214138318e-03 9.999993489597363006e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.001563083169953183e-01 9.999991836028029324e-01 -1.277808173253898493e-03 0.000000000000000000e+00 1.277808173253898493e-03 9.999991836028029324e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.051563083169954615e-01 9.999989876679952205e-01 -1.422906526903551646e-03 0.000000000000000000e+00 1.422906526903551646e-03 9.999989876679952205e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.101563083169956048e-01 9.999987588048390164e-01 -1.575559831011637789e-03 0.000000000000000000e+00 1.575559831011637789e-03 9.999987588048390164e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.151563083169957480e-01 9.999984921177604846e-01 -1.736595003137927484e-03 0.000000000000000000e+00 1.736595003137927484e-03 9.999984921177604846e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.201563083169958912e-01 9.999981836618245801e-01 -1.905957253319148217e-03 0.000000000000000000e+00 1.905957253319148217e-03 9.999981836618245801e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.251563083169960344e-01 9.999978335789168060e-01 -2.081546894226951258e-03 0.000000000000000000e+00 2.081546894226951258e-03 9.999978335789168060e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.301563083169961776e-01 9.999974215489119134e-01 -2.270879901637277379e-03 0.000000000000000000e+00 2.270879901637277379e-03 9.999974215489119134e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.351563083169963209e-01 9.999970032638244577e-01 -2.448155095281563491e-03 0.000000000000000000e+00 2.448155095281563491e-03 9.999970032638244577e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.401563083169964641e-01 9.999964941253633999e-01 -2.647968463145924066e-03 0.000000000000000000e+00 2.647968463145924066e-03 9.999964941253633999e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.451563083169966073e-01 9.999959501504267489e-01 -2.845994157592852958e-03 0.000000000000000000e+00 2.845994157592852958e-03 9.999959501504267489e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.501163083169965995e-01 9.999950052034680681e-01 -3.160627804068551813e-03 0.000000000000000000e+00 3.160627804068551813e-03 9.999950052034680681e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.550478283169965110e-01 9.999944175076980191e-01 -3.341399922121936206e-03 0.000000000000000000e+00 3.341399922121936206e-03 9.999944175076980191e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.600478283169966542e-01 9.999937212285490151e-01 -3.543656794750893631e-03 0.000000000000000000e+00 3.543656794750893631e-03 9.999937212285490151e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.650478283169967975e-01 9.999929642250483530e-01 -3.751199861512841734e-03 0.000000000000000000e+00 3.751199861512841734e-03 9.999929642250483530e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.700478283169969407e-01 9.999921998042748950e-01 -3.949725383736481243e-03 0.000000000000000000e+00 3.949725383736481243e-03 9.999921998042748950e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.750478283169970839e-01 9.999913219232704487e-01 -4.166062667548236197e-03 0.000000000000000000e+00 4.166062667548236197e-03 9.999913219232704487e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.800078283169969373e-01 9.999903206643843134e-01 -4.399838354054996792e-03 0.000000000000000000e+00 4.399838354054996792e-03 9.999903206643843134e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.850569549540894143e-01 9.999892260253679943e-01 -4.641964367102430211e-03 0.000000000000000000e+00 4.641964367102430211e-03 9.999892260253679943e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.901426350478762906e-01 9.999879713983541585e-01 -4.904799547850742687e-03 0.000000000000000000e+00 4.904799547850742687e-03 9.999879713983541585e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.950424908577816363e-01 9.999866201028339008e-01 -5.172969680043966803e-03 0.000000000000000000e+00 5.172969680043966803e-03 9.999866201028339008e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
2.000424908577817795e-01 9.999850743932516828e-01 -5.463606018285327437e-03 0.000000000000000000e+00 5.463606018285327437e-03 9.999850743932516828e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
2.050424908577819227e-01 9.999835950212965230e-01 -5.727974186686992514e-03 0.000000000000000000e+00 5.727974186686992514e-03 9.999835950212965230e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
2.100424908577820660e-01 9.999820932659811978e-01 -5.984408691476672884e-03 0.000000000000000000e+00 5.984408691476672884e-03 9.999820932659811978e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
2.150424908577822092e-01 9.999804748311919012e-01 -6.248996430157380787e-03 0.000000000000000000e+00 6.248996430157380787e-03 9.999804748311919012e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
2.200424908577823524e-01 9.999788268431416549e-01 -6.507370084315379499e-03 0.000000000000000000e+00 6.507370084315379499e-03 9.999788268431416549e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
2.250424908577824956e-01 9.999771111087991660e-01 -6.765889335519190313e-03 0.000000000000000000e+00 6.765889335519190313e-03 9.999771111087991660e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
2.301544908577824455e-01 9.999752676179604061e-01 -7.033075599514398805e-03 0.000000000000000000e+00 7.033075599514398805e-03 9.999752676179604061e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
2.351544908577825888e-01 9.999733992249566494e-01 -7.293890764572947411e-03 0.000000000000000000e+00 7.293890764572947411e-03 9.999733992249566494e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
2.400344908577825287e-01 9.999714818157490193e-01 -7.552188769821745022e-03 0.000000000000000000e+00 7.552188769821745022e-03 9.999714818157490193e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
2.451384908577826094e-01 9.999693897656753983e-01 -7.824291128461979480e-03 0.000000000000000000e+00 7.824291128461979480e-03 9.999693897656753983e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
2.500184908577825493e-01 9.999673326985417665e-01 -8.082916290788494731e-03 0.000000000000000000e+00 8.082916290788494731e-03 9.999673326985417665e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
2.550184908577819987e-01 9.999650974043717833e-01 -8.354877202286689272e-03 0.000000000000000000e+00 8.354877202286689272e-03 9.999650974043717833e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
2.600184908577814480e-01 9.999626312824412278e-01 -8.645000792161473477e-03 0.000000000000000000e+00 8.645000792161473477e-03 9.999626312824412278e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
2.650024908577811034e-01 9.999598772522281243e-01 -8.957895160635168802e-03 0.000000000000000000e+00 8.957895160635168802e-03 9.999598772522281243e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
2.701336908577811058e-01 9.999574440277934073e-01 -9.225515346176325557e-03 0.000000000000000000e+00 9.225515346176325557e-03 9.999574440277934073e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
2.751336908577805551e-01 9.999547946432438827e-01 -9.508347384686038559e-03 0.000000000000000000e+00 9.508347384686038559e-03 9.999547946432438827e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
2.800056908577804315e-01 9.999520928805446518e-01 -9.788357564919329332e-03 0.000000000000000000e+00 9.788357564919329332e-03 9.999520928805446518e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
2.850776908577801749e-01 9.999491303405546594e-01 -1.008646276791145581e-02 0.000000000000000000e+00 1.008646276791145581e-02 9.999491303405546594e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
2.900376908577801949e-01 9.999464849496567664e-01 -1.034539689069668804e-02 0.000000000000000000e+00 1.034539689069668804e-02 9.999464849496567664e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
2.950376908577796442e-01 9.999436767170203355e-01 -1.061335920654982862e-02 0.000000000000000000e+00 1.061335920654982862e-02 9.999436767170203355e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
3.000376908577790935e-01 9.999408873964852340e-01 -1.087298085761035683e-02 0.000000000000000000e+00 1.087298085761035683e-02 9.999408873964852340e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
3.050296908577789790e-01 9.999380749433091076e-01 -1.112862429365016684e-02 0.000000000000000000e+00 1.112862429365016684e-02 9.999380749433091076e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
3.101896908577786438e-01 9.999350933533908137e-01 -1.139337879409034818e-02 0.000000000000000000e+00 1.139337879409034818e-02 9.999350933533908137e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
3.151816908577782517e-01 9.999319693231517592e-01 -1.166433562290627481e-02 0.000000000000000000e+00 1.166433562290627481e-02 9.999319693231517592e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
