time R11 R12 R13 R21 R22 R23 R31 R32 R33
0.000000000000000000e+00 1.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
9.999999999999990992e-05 9.999999999999992228e-01 -3.564939745166985822e-08 0.000000000000000000e+00 3.564939745166985822e-08 9.999999999999992228e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.999999999999996301e-04 9.999999999999708011e-01 -2.410035418652520250e-07 0.000000000000000000e+00 2.410035418652520250e-07 9.999999999999708011e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
2.999999999999993774e-04 9.999999999997518652e-01 -7.042605988223772805e-07 0.000000000000000000e+00 7.042605988223772805e-07 9.999999999997518652e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
3.999999999999990976e-04 9.999999999989240829e-01 -1.466831936843476568e-06 0.000000000000000000e+00 1.466831936843476568e-06 9.999999999989240829e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
4.999999999999991430e-04 9.999999999967568165e-01 -2.546808905927463726e-06 0.000000000000000000e+00 2.546808905927463726e-06 9.999999999967568165e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
6.000000000000015737e-04 9.999999999921954652e-01 -3.950783127294609737e-06 0.000000000000000000e+00 3.950783127294609737e-06 9.999999999921954652e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
7.000000000000040044e-04 9.999999999838699027e-01 -5.679788361363232977e-06 0.000000000000000000e+00 5.679788361363232977e-06 9.999999999838699027e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
8.000000000000064351e-04 9.999999999701059128e-01 -7.732276522413694095e-06 0.000000000000000000e+00 7.732276522413694095e-06 9.999999999701059128e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
9.000000000000088658e-04 9.999999999489382896e-01 -1.010559840737615728e-05 0.000000000000000000e+00 1.010559840737615728e-05 9.999999999489382896e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.000000000000011297e-03 9.999999999181216070e-01 -1.279673151797309231e-05 0.000000000000000000e+00 1.279673151797309231e-05 9.999999999181216070e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.100000000000013727e-03 9.999999998751384345e-01 -1.580262964948507331e-05 0.000000000000000000e+00 1.580262964948507331e-05 9.999999998751384345e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.200000000000016158e-03 9.999999998172053317e-01 -1.912038325258739083e-05 0.000000000000000000e+00 1.912038325258739083e-05 9.999999998172053317e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.300000000000018589e-03 9.999999997435101706e-01 -2.264904808181567890e-05 0.000000000000000000e+00 2.264904808181567890e-05 9.999999997435101706e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.400000000000021019e-03 9.999999996949071601e-01 -2.470193167804539473e-05 0.000000000000000000e+00 2.470193167804539473e-05 9.999999996949071601e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.500000000000023450e-03 9.999999997056397971e-01 -2.426355548622415517e-05 0.000000000000000000e+00 2.426355548622415517e-05 9.999999997056397971e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.600000000000025881e-03 9.999999997380762951e-01 -2.288770925776691407e-05 0.000000000000000000e+00 2.288770925776691407e-05 9.999999997380762951e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.700000000000028311e-03 9.999999997667047280e-01 -2.160070267331276139e-05 0.000000000000000000e+00 2.160070267331276139e-05 9.999999997667047280e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.800000000000030742e-03 9.999999998095471243e-01 -1.951679861436656315e-05 0.000000000000000000e+00 1.951679861436656315e-05 9.999999998095471243e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.900000000000033173e-03 9.999999998533101175e-01 -1.712832373482640080e-05 0.000000000000000000e+00 1.712832373482640080e-05 9.999999998533101175e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
2.000000000000030399e-03 9.999999998767653553e-01 -1.569932861975710804e-05 0.000000000000000000e+00 1.569932861975710804e-05 9.999999998767653553e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
2.100000000000021988e-03 9.999999998795364720e-01 -1.552182269754157746e-05 0.000000000000000000e+00 1.552182269754157746e-05 9.999999998795364720e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
2.200000000000013577e-03 9.999999998670655588e-01 -1.630547028897010069e-05 0.000000000000000000e+00 1.630547028897010069e-05 9.999999998670655588e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
2.300000000000005165e-03 9.999999998396009726e-01 -1.791083142616986141e-05 0.000000000000000000e+00 1.791083142616986141e-05 9.999999998396009726e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
2.399999999999996754e-03 9.999999997964983400e-01 -2.017431468947147584e-05 0.000000000000000000e+00 2.017431468947147584e-05 9.999999997964983400e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
2.499999999999988343e-03 9.999999997370792038e-01 -2.293123049865011242e-05 0.000000000000000000e+00 2.293123049865011242e-05 9.999999997370792038e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
2.599999999999979931e-03 9.999999996593874618e-01 -2.610028945465114628e-05 0.000000000000000000e+00 2.610028945465114628e-05 9.999999996593874618e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
2.699999999999971520e-03 9.999999995610776571e-01 -2.962843941329972058e-05 0.000000000000000000e+00 2.962843941329972058e-05 9.999999995610776571e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
2.799999999999963109e-03 9.999999994402051229e-01 -3.346026685877616033e-05 0.000000000000000000e+00 3.346026685877616033e-05 9.999999994402051229e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
2.899999999999954697e-03 9.999999992948280791e-01 -3.755454021463919620e-05 0.000000000000000000e+00 3.755454021463919620e-05 9.999999992948280791e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
2.999999999999946286e-03 9.999999991214777451e-01 -4.191711203803992952e-05 0.000000000000000000e+00 4.191711203803992952e-05 9.999999991214777451e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
3.099999999999937875e-03 9.999999989195741401e-01 -4.648495990193075937e-05 0.000000000000000000e+00 4.648495990193075937e-05 9.999999989195741401e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
3.199999999999929463e-03 9.999999986900836024e-01 -5.118429990958023968e-05 0.000000000000000000e+00 5.118429990958023968e-05 9.999999986900836024e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
3.299999999999921052e-03 9.999999984240418582e-01 -5.614192818683987112e-05 0.000000000000000000e+00 5.614192818683987112e-05 9.999999984240418582e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
3.399999999999912641e-03 9.999999981116219905e-01 -6.145531563703227193e-05 0.000000000000000000e+00 6.145531563703227193e-05 9.999999981116219905e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
3.499999999999904229e-03 9.999999977630652515e-01 -6.688698791645439497e-05 0.000000000000000000e+00 6.688698791645439497e-05 9.999999977630652515e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
3.599999999999895818e-03 9.999999973901020356e-01 -7.224815441179928193e-05 0.000000000000000000e+00 7.224815441179928193e-05 9.999999973901020356e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
3.699999999999887407e-03 9.999999970006948624e-01 -7.745069456006218667e-05 0.000000000000000000e+00 7.745069456006218667e-05 9.999999970006948624e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
3.799999999999878995e-03 9.999999965995557405e-01 -8.246749806267359133e-05 0.000000000000000000e+00 8.246749806267359133e-05 9.999999965995557405e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
3.899999999999870584e-03 9.999999962031231870e-01 -8.714214427577620845e-05 0.000000000000000000e+00 8.714214427577620845e-05 9.999999962031231870e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
3.999999999999882122e-03 9.999999957990369781e-01 -9.166201999994320708e-05 0.000000000000000000e+00 9.166201999994320708e-05 9.999999957990369781e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
4.099999999999895395e-03 9.999999953990861279e-01 -9.592615659642868460e-05 0.000000000000000000e+00 9.592615659642868460e-05 9.999999953990861279e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
4.199999999999908668e-03 9.999999950206563959e-01 -9.979322066779929836e-05 0.000000000000000000e+00 9.979322066779929836e-05 9.999999950206563959e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
4.299999999999921940e-03 9.999999946627173841e-01 -1.033177852961904346e-04 0.000000000000000000e+00 1.033177852961904346e-04 9.999999946627173841e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
4.399999999999935213e-03 9.999999943186744789e-01 -1.065957352461196350e-04 0.000000000000000000e+00 1.065957352461196350e-04 9.999999943186744789e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
4.499999999999948486e-03 9.999999939821128114e-01 -1.097076761558904179e-04 0.000000000000000000e+00 1.097076761558904179e-04 9.999999939821128114e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
4.599999999999961758e-03 9.999999936486291263e-01 -1.127064381923475886e-04 0.000000000000000000e+00 1.127064381923475886e-04 9.999999936486291263e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
4.699999999999975031e-03 9.999999933157284193e-01 -1.156224146885672158e-04 0.000000000000000000e+00 1.156224146885672158e-04 9.999999933157284193e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
4.799999999999988304e-03 9.999999929919773933e-01 -1.183893792148096538e-04 0.000000000000000000e+00 1.183893792148096538e-04 9.999999929919773933e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
4.900000000000001577e-03 9.999999926935103645e-01 -1.208841547583604269e-04 0.000000000000000000e+00 1.208841547583604269e-04 9.999999926935103645e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
5.000000000000014849e-03 9.999999924315281508e-01 -1.230322862338153740e-04 0.000000000000000000e+00 1.230322862338153740e-04 9.999999924315281508e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
5.100000000000028122e-03 9.999999922021163279e-01 -1.248830138159266235e-04 0.000000000000000000e+00 1.248830138159266235e-04 9.999999922021163279e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
5.200000000000041395e-03 9.999999919989834840e-01 -1.264991410362028136e-04 0.000000000000000000e+00 1.264991410362028136e-04 9.999999919989834840e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
5.300000000000054667e-03 9.999999918256577969e-01 -1.278619722645017655e-04 0.000000000000000000e+00 1.278619722645017655e-04 9.999999918256577969e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
5.400000000000067940e-03 9.999999916772108755e-01 -1.290177421564555010e-04 0.000000000000000000e+00 1.290177421564555010e-04 9.999999916772108755e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
5.500000000000081213e-03 9.999999915479896861e-01 -1.300154620342528790e-04 0.000000000000000000e+00 1.300154620342528790e-04 9.999999915479896861e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
5.600000000000094486e-03 9.999999914340578222e-01 -1.308888240397725728e-04 0.000000000000000000e+00 1.308888240397725728e-04 9.999999914340578222e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
5.700000000000107758e-03 9.999999913328794232e-01 -1.316595638682329565e-04 0.000000000000000000e+00 1.316595638682329565e-04 9.999999913328794232e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
5.800000000000121031e-03 9.999999912411507985e-01 -1.323544412435583473e-04 0.000000000000000000e+00 1.323544412435583473e-04 9.999999912411507985e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
5.900000000000134304e-03 9.999999911557786447e-01 -1.329979041793202159e-04 0.000000000000000000e+00 1.329979041793202159e-04 9.999999911557786447e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
6.000000000000147576e-03 9.999999910741844689e-01 -1.336099948682378140e-04 0.000000000000000000e+00 1.336099948682378140e-04 9.999999910741844689e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
6.100000000000160849e-03 9.999999909943340093e-01 -1.342063028207697302e-04 0.000000000000000000e+00 1.342063028207697302e-04 9.999999909943340093e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
6.200000000000174122e-03 9.999999909136272347e-01 -1.348063246804049133e-04 0.000000000000000000e+00 1.348063246804049133e-04 9.999999909136272347e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
6.300000000000187395e-03 9.999999908315674313e-01 -1.354136805363262929e-04 0.000000000000000000e+00 1.354136805363262929e-04 9.999999908315674313e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
6.400000000000200667e-03 9.999999907481826877e-01 -1.360280645284504331e-04 0.000000000000000000e+00 1.360280645284504331e-04 9.999999907481826877e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
6.500000000000213940e-03 9.999999906609053912e-01 -1.366681702256488165e-04 0.000000000000000000e+00 1.366681702256488165e-04 9.999999906609053912e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
6.600000000000227213e-03 9.999999905673911949e-01 -1.373507091600336251e-04 0.000000000000000000e+00 1.373507091600336251e-04 9.999999905673911949e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
6.700000000000240485e-03 9.999999904696369457e-01 -1.380605874894486529e-04 0.000000000000000000e+00 1.380605874894486529e-04 9.999999904696369457e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
6.800000000000253758e-03 9.999999903667802226e-01 -1.388035987561851822e-04 0.000000000000000000e+00 1.388035987561851822e-04 9.999999903667802226e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
6.900000000000267031e-03 9.999999902583365241e-01 -1.395826878822944127e-04 0.000000000000000000e+00 1.395826878822944127e-04 9.999999902583365241e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
7.000000000000280304e-03 9.999999901477933939e-01 -1.403724077227867838e-04 0.000000000000000000e+00 1.403724077227867838e-04 9.999999901477933939e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
7.100000000000293576e-03 9.999999900381358886e-01 -1.411514359608057360e-04 0.000000000000000000e+00 1.411514359608057360e-04 9.999999900381358886e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
7.200000000000306849e-03 9.999999899302817186e-01 -1.419134812352018562e-04 0.000000000000000000e+00 1.419134812352018562e-04 9.999999899302817186e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
7.300000000000320122e-03 9.999999898243934204e-01 -1.426576764457622784e-04 0.000000000000000000e+00 1.426576764457622784e-04 9.999999898243934204e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
7.400000000000333394e-03 9.999999897166458318e-01 -1.434109755833915076e-04 0.000000000000000000e+00 1.434109755833915076e-04 9.999999897166458318e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
7.500000000000346667e-03 9.999999896073283878e-01 -1.441712278301259258e-04 0.000000000000000000e+00 1.441712278301259258e-04 9.999999896073283878e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
7.600000000000359940e-03 9.999999894965411196e-01 -1.449376323928248315e-04 0.000000000000000000e+00 1.449376323928248315e-04 9.999999894965411196e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
7.700000000000373213e-03 9.999999893840554321e-01 -1.457116630374826664e-04 0.000000000000000000e+00 1.457116630374826664e-04 9.999999893840554321e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
7.800000000000386485e-03 9.999999892700782711e-01 -1.464917849818938081e-04 0.000000000000000000e+00 1.464917849818938081e-04 9.999999892700782711e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
