time R11 R12 R13 R21 R22 R23 R31 R32 R33
0.000000000000000000e+00 1.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
5.040000000000002811e-03 9.999999203965483918e-01 -3.990073891596773530e-04 0.000000000000000000e+00 3.990073891596773530e-04 9.999999203965483918e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.016000000000001104e-02 9.999986854276448067e-01 -1.621463222601379891e-03 0.000000000000000000e+00 1.621463222601379891e-03 9.999986854276448067e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.516000000000002415e-02 9.999934836246539005e-01 -3.610084241259254277e-03 0.000000000000000000e+00 3.610084241259254277e-03 9.999934836246539005e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
2.015999999999999737e-02 9.999796215853670178e-01 -6.384075029824620544e-03 0.000000000000000000e+00 6.384075029824620544e-03 9.999796215853670178e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
2.503999999999999629e-02 9.999514997981626685e-01 -9.848758876391784656e-03 0.000000000000000000e+00 9.848758876391784656e-03 9.999514997981626685e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
3.006304000000002349e-02 9.998992293539149534e-01 -1.419616629401321446e-02 0.000000000000000000e+00 1.419616629401321446e-02 9.998992293539149534e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
3.506303999999999671e-02 9.998135362003267579e-01 -1.931043320586902159e-02 0.000000000000000000e+00 1.931043320586902159e-02 9.998135362003267579e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
4.010303999999997870e-02 9.996809227479059867e-01 -2.525970494474894315e-02 0.000000000000000000e+00 2.525970494474894315e-02 9.996809227479059867e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
4.502481407999994745e-02 9.994930317376859996e-01 -3.183833393582824467e-02 0.000000000000000000e+00 3.183833393582824467e-02 9.994930317376859996e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
5.006602187735023635e-02 9.992249566574579189e-01 -3.936351093210237184e-02 0.000000000000000000e+00 3.936351093210237184e-02 9.992249566574579189e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
5.506565243169649071e-02 9.988659014128243863e-01 -4.761208874588473972e-02 0.000000000000000000e+00 4.761208874588473972e-02 9.988659014128243863e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
