time torque_Nm angle_arcmin
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.008044404663986171e-04 3.225742094924755321e+01 4.794707187206886760e-03
2.000289278637785572e-04 6.400925691640914295e+01 4.394361559734926564e-02
3.006053593588617454e-04 9.619371499483575860e+01 1.532002940774441491e-01
4.002463632296555983e-04 1.280788362334897954e+02 3.451583114472502323e-01
5.010220209038514054e-04 1.603270466892324464e+02 5.133975373850455659e-01
6.008939397507749407e-04 1.922860607202479741e+02 5.757481509775397299e-01
7.025686843085990297e-04 2.248219789787517016e+02 6.352199779129333868e-01
8.049721958216360775e-04 2.575911026629235039e+02 6.967791974391378540e-01
9.000297364261341561e-04 2.880095156563629075e+02 7.532082324246701655e-01
1.000527867581080949e-03 3.201689176259458804e+02 8.117996211018894126e-01
1.102119432311975209e-03 3.526782183398320285e+02 8.615707848397535784e-01
1.202122481139357001e-03 3.846791939645942193e+02 9.002709835183193565e-01
1.300235362450438649e-03 4.160753159841403885e+02 9.351621647336046950e-01
1.405311093402952707e-03 4.496995498889448868e+02 9.715585023959548705e-01
1.501076476542851897e-03 4.803444724937126011e+02 1.004155355373216763e+00
1.602508348456879771e-03 5.128026715062014773e+02 1.037516020576849218e+00
1.701775384659384846e-03 5.445681230910031445e+02 1.069524591180324835e+00
1.803347755844756858e-03 5.770712818703221956e+02 1.101862122638651798e+00
1.902527048764211847e-03 6.088086556045477664e+02 1.129209147003696900e+00
2.001640923536815008e-03 6.405250955317807211e+02 1.157100546712777733e+00
2.103254191673251637e-03 6.730413413354405066e+02 1.188982005519157115e+00
2.200989090796849190e-03 7.043165090549916840e+02 1.221765301269045256e+00
2.305239649862016790e-03 7.376766879558454093e+02 1.257461460696171374e+00
2.400182123296364274e-03 7.680582794548365655e+02 1.289817143569616187e+00
2.504060358936301914e-03 8.012993148596166293e+02 1.324794033701611973e+00
2.603247319418307715e-03 8.330391422138584403e+02 1.357727626731394910e+00
2.707795737223665181e-03 8.664946359115728001e+02 1.392009542616665208e+00
2.801085094649982763e-03 8.963472302879944209e+02 1.422391826104965951e+00
2.908988833742179834e-03 9.308764267974975155e+02 1.457318926952899441e+00
3.008988833742180097e-03 9.628764267974976292e+02 1.489358348159272483e+00
3.108988833742180359e-03 9.948764267974976292e+02 1.521055542879807820e+00
3.208988833742180621e-03 1.026876426797497743e+03 1.552571669316960890e+00
3.308988833742180884e-03 1.058876426797497743e+03 1.583864140498969286e+00
3.408988833742181146e-03 1.090876426797497970e+03 1.614921513606711434e+00
3.508988833742181408e-03 1.122876426797497970e+03 1.645789252926997293e+00
3.608988833742181671e-03 1.154876426797498198e+03 1.676470301567040355e+00
3.708988833742181933e-03 1.186876426797498198e+03 1.706904595551349546e+00
3.808988833742182195e-03 1.218876426797498425e+03 1.737133776455691558e+00
3.908988833742182457e-03 1.250876426797498425e+03 1.767133001171774964e+00
4.008988833742178383e-03 1.282876426797497061e+03 1.797027372138160661e+00
4.108988833742174308e-03 1.314876426797495697e+03 1.826908411072688088e+00
4.208988833742170234e-03 1.346876426797494332e+03 1.856816546885977859e+00
4.308988833742166159e-03 1.378876426797493195e+03 1.886740411358740710e+00
4.408988833742162085e-03 1.410876426797491831e+03 1.916624512935795721e+00
4.508988833742158010e-03 1.442876426797490467e+03 1.946429469671755674e+00
4.608988833742153936e-03 1.474876426797489103e+03 1.976130855596520242e+00
4.708988833742149861e-03 1.506876426797487966e+03 2.005622624072720406e+00
4.808988833742145787e-03 1.538876426797486602e+03 2.034867615377508709e+00
4.908988833742141712e-03 1.570876426797485237e+03 2.063888751251237608e+00
5.008988833742137638e-03 1.602876426797483873e+03 2.092729717694910896e+00
5.108988833742133563e-03 1.634876426797482509e+03 2.121444294814136988e+00
5.208988833742129489e-03 1.666876426797481599e+03 2.150123248128700482e+00
5.308988833742125414e-03 1.698876426797480235e+03 2.178798309706700298e+00
5.408988833742121340e-03 1.730876426797478643e+03 2.207494915774008248e+00
5.508988833742117265e-03 1.762876426797477279e+03 2.236225621521730655e+00
5.608988833742113191e-03 1.794876426797476370e+03 2.266175793497835933e+00
5.708988833742109116e-03 1.826876426797475006e+03 2.297724795126649511e+00
5.808988833742105042e-03 1.858876426797473414e+03 2.329200274148539584e+00
5.908988833742100967e-03 1.890876426797472050e+03 2.360137712142399646e+00
6.008988833742096893e-03 1.922876426797471140e+03 2.390411606194274619e+00
6.108988833742092818e-03 1.954876426797469776e+03 2.420053646260705627e+00
6.208988833742088743e-03 1.986876426797468412e+03 2.449159173015878377e+00
6.308988833742084669e-03 2.018876426797466820e+03 2.477789102236949592e+00
6.408988833742080594e-03 2.050876426797465683e+03 2.506056311628739319e+00
6.508988833742076520e-03 2.082876426797464319e+03 2.534149978722406882e+00
6.608988833742072445e-03 2.114876426797462955e+03 2.562206423056089921e+00
6.708988833742068371e-03 2.146876426797461590e+03 2.590301731755239700e+00
6.808988833742064296e-03 2.178876426797460681e+03 2.618458521298506980e+00
6.908988833742060222e-03 2.210876426797459317e+03 2.646617579328129466e+00
7.008988833742056147e-03 2.242876426797457952e+03 2.674610860361355869e+00
7.108988833742052073e-03 2.274876426797456588e+03 2.702342726768017123e+00
7.208988833742047998e-03 2.306876426797455224e+03 2.729779555081768283e+00
7.308988833742043924e-03 2.338876426797453860e+03 2.756901432883495762e+00
7.408988833742039849e-03 2.370876426797452496e+03 2.783708615094427241e+00
7.508988833742035775e-03 2.402876426797451131e+03 2.810227508913496930e+00
7.608988833742031700e-03 2.434876426797450222e+03 2.836508079863637732e+00
7.708988833742027626e-03 2.466876426797448858e+03 2.862628458029320200e+00
7.808988833742023551e-03 2.498876426797447493e+03 2.888719146954625838e+00
7.908988833742020344e-03 2.530876426797446584e+03 2.914879471277899814e+00
8.008988833742016270e-03 2.562876426797445220e+03 2.941172071087346129e+00
8.108988833742012195e-03 2.594876426797443855e+03 2.967626398025738244e+00
8.208988833742008120e-03 2.626876426797442491e+03 2.994236087626814591e+00
8.308988833742004046e-03 2.658876426797441127e+03 3.020957255297755939e+00
8.408988833741999971e-03 2.690876426797439763e+03 3.047716590085256527e+00
8.508988833741995897e-03 2.722876426797438853e+03 3.074427609537979666e+00
8.608988833741991822e-03 2.754876426797437489e+03 3.101009368917787334e+00
8.708988833741987748e-03 2.786876426797436125e+03 3.127402811298617635e+00
8.808988833741983673e-03 2.818876426797434760e+03 3.153584155443887926e+00
8.908988833741979599e-03 2.850876426797433396e+03 3.179571111886815515e+00
9.008988833741975524e-03 2.882876426797432032e+03 3.205414677008124436e+00
9.108988833741971450e-03 2.914876426797430668e+03 3.231193481609767382e+00
9.208988833741967375e-03 2.946876426797429303e+03 3.256992016862807926e+00
9.308988833741963301e-03 2.978876426797428394e+03 3.282882964901869371e+00
9.408988833741959226e-03 3.010876426797427030e+03 3.308912370466728703e+00
9.508988833741955152e-03 3.042876426797425665e+03 3.335077415211695318e+00
9.608988833741951077e-03 3.074876426797424301e+03 3.361309160514128092e+00
9.708988833741947003e-03 3.106876426797422937e+03 3.387538034954467481e+00
9.808988833741942928e-03 3.138876426797421573e+03 3.413691297229469956e+00
