time error_arcsec
0.000000000000000000e+00 0.000000000000000000e+00
5.000000000000000104e-03 -2.710269757053745465e+01
1.000000000000000021e-02 -2.981753260248535042e+01
1.499999999999999944e-02 -2.961642731027448505e+01
2.000000000000000042e-02 -2.936935148453947519e+01
2.500000000000000139e-02 -2.914436080098271376e+01
2.999999999999999889e-02 -2.887265782818247573e+01
3.500000000000000333e-02 -2.853566513601842658e+01
4.000000000000000083e-02 -2.812902912572380743e+01
4.499999999999999833e-02 -2.770585400049921176e+01
5.000000000000000278e-02 -2.723813962967400570e+01
5.500000000000000028e-02 -2.682039714178316103e+01
5.999999999999999778e-02 -2.639433240698868488e+01
6.500000000000000222e-02 -2.591264372549275308e+01
7.000000000000000666e-02 -2.534580172897184980e+01
7.499999999999999722e-02 -2.466721849595515081e+01
8.000000000000000167e-02 -2.396378846690643627e+01
8.500000000000000611e-02 -2.309381543115725322e+01
8.999999999999999667e-02 -2.240411686427280102e+01
9.500000000000000111e-02 -2.182023127576866628e+01
1.000000000000000056e-01 -2.115135220610921252e+01
1.049999999999999961e-01 -2.038526633761789952e+01
1.100000000000000006e-01 -1.951419062442349883e+01
1.150000000000000050e-01 -1.833710068659978276e+01
1.199999999999999956e-01 -1.681205856976771074e+01
1.250000000000000000e-01 -1.509200855854980539e+01
1.300000000000000044e-01 -1.247857532542888315e+01
1.350000000000000089e-01 -3.364560366116760903e+00
1.400000000000000133e-01 1.332295630912674334e+01
1.449999999999999900e-01 1.248177220611917093e+01
1.499999999999999944e-01 3.605589302640697724e+01
1.549999999999999989e-01 3.240646516131558030e+01
1.600000000000000033e-01 3.031431263785691144e+01
1.650000000000000078e-01 2.956895585310999408e+01
1.700000000000000122e-01 2.592817353625862253e+01
1.750000000000000167e-01 2.171338751345399132e+01
1.799999999999999933e-01 1.921965718795663136e+01
1.849999999999999978e-01 1.896190992817033916e+01
1.900000000000000022e-01 2.035664751178580190e+01
1.950000000000000067e-01 2.323657173322248681e+01
2.000000000000000111e-01 2.792795196973540683e+01
2.050000000000000155e-01 2.659870467219154122e+01
2.099999999999999922e-01 2.502189199396410757e+01
2.149999999999999967e-01 2.383323162587700139e+01
2.200000000000000011e-01 2.187913309027009845e+01
2.250000000000000056e-01 2.017235288071723787e+01
2.300000000000000100e-01 1.863323031293539955e+01
2.350000000000000144e-01 1.714789065471754625e+01
2.399999999999999911e-01 1.577129686734901526e+01
2.449999999999999956e-01 1.426397834174402313e+01
2.500000000000000000e-01 1.344702716183801705e+01
2.550000000000000044e-01 1.325813956226014945e+01
2.600000000000000089e-01 1.960504212139632330e+01
2.650000000000000133e-01 2.925064073470269577e+01
2.700000000000000178e-01 2.715918705903428787e+01
2.750000000000000222e-01 3.055479719244591763e+01
2.800000000000000266e-01 3.145663623314464630e+01
2.850000000000000311e-01 3.794366048383416512e+01
2.899999999999999800e-01 3.631918470850429514e+01
2.949999999999999845e-01 3.585062004745735464e+01
2.999999999999999889e-01 3.445629179158992628e+01
3.049999999999999933e-01 3.207712745876983007e+01
3.099999999999999978e-01 2.961029488167180901e+01
3.150000000000000022e-01 3.017129153240603756e+01
3.200000000000000067e-01 2.914199007531142271e+01
3.250000000000000111e-01 2.809789715040496461e+01
3.300000000000000155e-01 2.705157673545491903e+01
3.350000000000000200e-01 2.606791436231063841e+01
3.400000000000000244e-01 2.533178871705970892e+01
3.450000000000000289e-01 2.486226819629178308e+01
3.500000000000000333e-01 2.475356899125967303e+01
3.549999999999999822e-01 2.442579779690646902e+01
3.599999999999999867e-01 2.362757950171937438e+01
3.649999999999999911e-01 2.227761352535705441e+01
3.699999999999999956e-01 2.110936467930543969e+01
3.750000000000000000e-01 2.100371702289690390e+01
3.800000000000000044e-01 3.193632821108574760e+01
3.850000000000000089e-01 4.589590069293002728e+01
3.900000000000000133e-01 4.608360220751377057e+01
3.950000000000000178e-01 4.532277005280395343e+01
4.000000000000000222e-01 4.283932268443337676e+01
4.050000000000000266e-01 3.984398860859614189e+01
4.100000000000000311e-01 3.669569332134191342e+01
4.150000000000000355e-01 3.309272699026104192e+01
4.199999999999999845e-01 3.666746281608271829e+01
4.249999999999999889e-01 3.527090347965163630e+01
4.299999999999999933e-01 3.512253135558557204e+01
4.349999999999999978e-01 3.500900607899981765e+01
4.400000000000000022e-01 3.442313808975585232e+01
4.450000000000000067e-01 3.332889710529205729e+01
4.500000000000000111e-01 3.223209244298304554e+01
4.550000000000000155e-01 3.100020522589407079e+01
4.600000000000000200e-01 2.993748413388197704e+01
4.650000000000000244e-01 2.904009236213229173e+01
4.700000000000000289e-01 2.821203218820390290e+01
4.750000000000000333e-01 2.722012322858617850e+01
4.799999999999999822e-01 2.606892902989494232e+01
4.849999999999999867e-01 2.446177093781400913e+01
4.899999999999999911e-01 2.984588026887717405e+01
4.949999999999999956e-01 3.716577742418328256e+01
5.000000000000000000e-01 3.570693662261223267e+01
5.050000000000000044e-01 3.382507145008200666e+01
5.100000000000000089e-01 4.327730056478108622e+01
5.150000000000000133e-01 4.688473602455209743e+01
5.200000000000000178e-01 4.656006644784532256e+01
5.250000000000000222e-01 4.406977776045830097e+01
5.300000000000000266e-01 4.091459173993356302e+01
5.350000000000000311e-01 3.794402639778952135e+01
5.400000000000000355e-01 3.521640950666948555e+01
5.450000000000000400e-01 3.491133481968150676e+01
5.500000000000000444e-01 3.318614906844231882e+01
5.550000000000000488e-01 3.228926540775422183e+01
5.600000000000000533e-01 3.095299349555843094e+01
5.650000000000000577e-01 2.936030371866326760e+01
5.700000000000000622e-01 2.810048425461242161e+01
5.750000000000000666e-01 2.740827616302319214e+01
5.799999999999999600e-01 2.680972947809711115e+01
5.849999999999999645e-01 2.647642622510298338e+01
5.899999999999999689e-01 2.564378538058754842e+01
5.949999999999999734e-01 2.432699373497869288e+01
5.999999999999999778e-01 2.321254532583906993e+01
6.049999999999999822e-01 2.200068810922610396e+01
6.099999999999999867e-01 2.677682354882596627e+01
6.149999999999999911e-01 3.023058933201961196e+01
6.199999999999999956e-01 4.697412817291662179e+01
6.250000000000000000e-01 4.434047240117644151e+01
6.300000000000000044e-01 4.112711026692507232e+01
6.350000000000000089e-01 3.796305311114009129e+01
6.400000000000000133e-01 3.501180592531957103e+01
6.450000000000000178e-01 3.282694613027763353e+01
6.500000000000000222e-01 3.366075016326641389e+01
6.550000000000000266e-01 3.335068125211447665e+01
6.600000000000000311e-01 3.152263528397747194e+01
6.650000000000000355e-01 3.294960468638161188e+01
6.700000000000000400e-01 3.196829479494884296e+01
6.750000000000000444e-01 3.086718123911511213e+01
6.800000000000000488e-01 2.925890511247859394e+01
6.850000000000000533e-01 2.798937576153434037e+01
6.900000000000000577e-01 2.695708014524885598e+01
6.950000000000000622e-01 2.510100674796777298e+01
7.000000000000000666e-01 2.265753570579633092e+01
7.049999999999999600e-01 2.085163520047581542e+01
7.099999999999999645e-01 1.954802831639576510e+01
7.149999999999999689e-01 1.899760498597951397e+01
7.199999999999999734e-01 1.913776157405860801e+01
7.249999999999999778e-01 2.263481116237242574e+01
7.299999999999999822e-01 2.991176088624926521e+01
7.349999999999999867e-01 2.722942048018670036e+01
7.399999999999999911e-01 2.417572607288581921e+01
7.449999999999999956e-01 3.637134526942696056e+01
7.500000000000000000e-01 3.624707562396934435e+01
7.550000000000000044e-01 3.638490028744945448e+01
7.600000000000000089e-01 3.341276548616519904e+01
7.650000000000000133e-01 3.071198090536299574e+01
7.700000000000000178e-01 2.826804169683659040e+01
7.750000000000000222e-01 2.670555423018851116e+01
7.800000000000000266e-01 2.752635628461215589e+01
7.850000000000000311e-01 2.799453042928729829e+01
7.900000000000000355e-01 2.540977389244223517e+01
7.950000000000000400e-01 2.329002785317463520e+01
8.000000000000000444e-01 2.093197723313605252e+01
8.050000000000000488e-01 1.893308355557068623e+01
8.100000000000000533e-01 1.720956379869789643e+01
8.150000000000000577e-01 1.573793550492502291e+01
8.200000000000000622e-01 1.347530184342462078e+01
8.250000000000000666e-01 9.149347516057380503e+00
8.300000000000000711e-01 -6.060444561725820689e-01
8.349999999999999645e-01 -6.938237474364828294e+00
8.399999999999999689e-01 -1.378923866249165542e+01
8.449999999999999734e-01 -1.400083140103741641e+01
8.499999999999999778e-01 -1.150631847086412129e+01
8.549999999999999822e-01 3.357473218299710993e+01
8.599999999999999867e-01 2.832923118866792223e+01
8.649999999999999911e-01 2.740694597331006221e+01
8.699999999999999956e-01 2.416189372053214157e+01
8.750000000000000000e-01 1.723925220565487137e+01
8.800000000000000044e-01 1.788502108446831329e+01
8.850000000000000089e-01 6.309564625773416147e+00
8.900000000000000133e-01 -1.193468290175877300e+01
8.950000000000000178e-01 -1.292532622317966329e+01
9.000000000000000222e-01 -1.349338743481569480e+01
9.050000000000000266e-01 -1.993055221967212276e+01
9.100000000000000311e-01 -2.668439881638034805e+01
9.150000000000000355e-01 -2.674002670962439865e+01
9.200000000000000400e-01 -2.666914430701279315e+01
9.250000000000000444e-01 -2.657850518458822364e+01
9.300000000000000488e-01 -2.581468727764699267e+01
9.350000000000000533e-01 -2.460509993463858081e+01
9.400000000000000577e-01 -2.350547918930384483e+01
9.450000000000000622e-01 -2.228840013717749002e+01
9.500000000000000666e-01 -2.087328828635051892e+01
9.550000000000000711e-01 -1.941411534781712334e+01
9.599999999999999645e-01 -1.778124936046106797e+01
9.649999999999999689e-01 -1.704374310099827383e+01
9.699999999999999734e-01 -1.666453620619767051e+01
9.749999999999999778e-01 -1.669173061106499745e+01
9.799999999999999822e-01 -1.678062902910311749e+01
9.849999999999999867e-01 -1.644843765155096804e+01
9.899999999999999911e-01 -1.627449752947215345e+01
9.949999999999999956e-01 -1.587408853166779288e+01
1.000000000000000000e+00 -1.604280673634928078e+01
