time torque_Nm angle_arcmin
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000048e-04 3.200000000000000000e+01 5.903884543489648987e-03
2.000000000000000096e-04 6.400000000000000000e+01 4.660908727910881982e-02
3.000000000000001363e-04 9.600000000000004263e+01 1.572031095163140824e-01
4.002102293708804893e-04 1.280672733986817491e+02 3.528751869494374249e-01
5.011854433057588753e-04 1.603793418578428316e+02 5.173166852102270008e-01
6.004970716464040539e-04 1.921590629268492876e+02 5.789670878407433552e-01
7.037344110999153076e-04 2.251950115519728683e+02 6.394133518445795916e-01
8.048660461267669042e-04 2.575571347605654182e+02 6.999623131454467684e-01
9.010365066051308084e-04 2.883316821136418753e+02 7.568494983766197448e-01
1.008947257063970643e-03 3.228631222604705613e+02 8.204814697351228148e-01
1.103910069755154174e-03 3.532512223216493226e+02 8.650415218863798383e-01
1.203910069755154437e-03 3.852512223216494363e+02 9.030747936757117511e-01
1.303910069755154699e-03 4.172512223216495499e+02 9.384771491322887460e-01
1.403910069755154961e-03 4.492512223216495499e+02 9.731110923617620756e-01
1.504390069755154975e-03 4.814048223216495899e+02 1.007210143143593806e+00
1.602694069755154988e-03 5.128621023216496724e+02 1.039291773061536306e+00
1.705913269755153635e-03 5.458922463216491678e+02 1.072490225978769196e+00
1.803234229755154268e-03 5.770349535216494132e+02 1.103316119291055664e+00
1.903635381755153190e-03 6.091633221616490346e+02 1.130677046398645302e+00
2.001782095355152721e-03 6.405702705136488930e+02 1.158346784119567818e+00
2.105515621883154859e-03 6.737649990026095566e+02 1.190979644094393386e+00
2.201729600199955634e-03 7.045534720639858506e+02 1.223307807976617978e+00
2.300436434427155594e-03 7.361396590166897340e+02 1.257140267712477222e+00
2.400436434427155857e-03 7.681396590166898477e+02 1.291247574974481616e+00
2.500436434427156119e-03 8.001396590166899614e+02 1.324963260658478470e+00
2.600436434427156381e-03 8.321396590166900751e+02 1.358217264907171540e+00
2.700436434427156644e-03 8.641396590166900751e+02 1.391067928195529602e+00
2.800436434427156906e-03 8.961396590166903025e+02 1.423675887201006685e+00
2.900436434427157168e-03 9.281396590166903025e+02 1.456060925797953765e+00
3.006036434427158000e-03 9.619316590166905598e+02 1.489913266907862521e+00
3.105876434427158345e-03 9.938804590166906792e+02 1.521642669034802386e+00
3.202644434427156725e-03 1.024846219016690156e+03 1.552116193776551967e+00
3.301076434427156585e-03 1.056344459016690053e+03 1.582966391896892588e+00
3.401076434427156847e-03 1.088344459016690053e+03 1.614059856552644501e+00
