time R11 R12 R13 R21 R22 R23 R31 R32 R33
0.000000000000000000e+00 1.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
5.054987628527174252e-03 9.999999908301632212e-01 1.354240495245713299e-04 0.000000000000000000e+00 -1.354240495245713299e-04 9.999999908301632212e-01 -0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.010019985435288946e-02 9.999999914194395156e-01 1.310004604794095802e-04 0.000000000000000000e+00 -1.310004604794095802e-04 9.999999914194395156e-01 -0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.519406175713868337e-02 9.999999936669038414e-01 1.125441780664042715e-04 0.000000000000000000e+00 -1.125441780664042715e-04 9.999999936669038414e-01 -0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
2.019406175713865659e-02 9.999999961635113177e-01 8.759553024086342784e-05 0.000000000000000000e+00 -8.759553024086342784e-05 9.999999961635113177e-01 -0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
2.519406175713862633e-02 9.999999984311768175e-01 5.601469527857848123e-05 0.000000000000000000e+00 -5.601469527857848123e-05 9.999999984311768175e-01 -0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
3.019406175713859608e-02 9.999999998465431972e-01 1.751894089010963654e-05 0.000000000000000000e+00 -1.751894089010963654e-05 9.999999998465431972e-01 -0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
3.519406175713856583e-02 9.999999996076236464e-01 -2.801343313872728185e-05 0.000000000000000000e+00 2.801343313872728185e-05 9.999999996076236464e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
4.019406175713853557e-02 9.999999967513965027e-01 -8.060525194822323501e-05 0.000000000000000000e+00 8.060525194822323501e-05 9.999999967513965027e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
4.519406175713850532e-02 9.999999902029725884e-01 -1.399787640649278032e-04 0.000000000000000000e+00 1.399787640649278032e-04 9.999999902029725884e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
5.019406175713847507e-02 9.999999787243200045e-01 -2.062798079413547371e-04 0.000000000000000000e+00 2.062798079413547371e-04 9.999999787243200045e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
5.519406175713844481e-02 9.999999610678963480e-01 -2.790415839836510423e-04 0.000000000000000000e+00 2.790415839836510423e-04 9.999999610678963480e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
6.019406175713841456e-02 9.999999357137104861e-01 -3.585701808868998640e-04 0.000000000000000000e+00 3.585701808868998640e-04 9.999999357137104861e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
6.519406175713847451e-02 9.999999009491592483e-01 -4.450861391307098019e-04 0.000000000000000000e+00 4.450861391307098019e-04 9.999999009491592483e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
7.019406175713861773e-02 9.999998548762856210e-01 -5.387461438546326279e-04 0.000000000000000000e+00 5.387461438546326279e-04 9.999998548762856210e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
7.519406175713876095e-02 9.999997954267421107e-01 -6.396455843892704740e-04 0.000000000000000000e+00 6.396455843892704740e-04 9.999997954267421107e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
8.019406175713890417e-02 9.999997207308457536e-01 -7.473541531926604755e-04 0.000000000000000000e+00 7.473541531926604755e-04 9.999997207308457536e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
8.519406175713904739e-02 9.999996279231576635e-01 -8.626433481016095636e-04 0.000000000000000000e+00 8.626433481016095636e-04 9.999996279231576635e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
9.019406175713919060e-02 9.999995161970028912e-01 -9.836695380635084116e-04 0.000000000000000000e+00 9.836695380635084116e-04 9.999995161970028912e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
