time torque_Nm angle_arcmin
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.009476748198116509e-04 3.230325594233972453e+01 3.271766783422129510e-02
2.012376705487454607e-04 6.439605457559855495e+01 9.117509308694771164e-02
3.024528475917699199e-04 9.678491122936637225e+01 2.097854784348537338e-01
4.014065399513037057e-04 1.284500927844171940e+02 3.770242516254351250e-01
5.001702969842154083e-04 1.600544950349489284e+02 4.658700955686007061e-01
6.006252058141402835e-04 1.922000658605248873e+02 4.930279935128235591e-01
7.034498411893982820e-04 2.251039491806074579e+02 5.198053008444164513e-01
8.009759530022098018e-04 2.563123049607071380e+02 5.536092248658252002e-01
9.000639801258973182e-04 2.880204736402871504e+02 5.951409851992900402e-01
1.003572691811141244e-03 3.211432613795652173e+02 6.406600056241206209e-01
1.101947371396798337e-03 3.526231588469754570e+02 6.811258586070915166e-01
1.202435745603244038e-03 3.847794385930380940e+02 7.186224652153427872e-01
1.302435745603244301e-03 4.167794385930381509e+02 7.534775417949260978e-01
1.402435745603244563e-03 4.487794385930382646e+02 7.868379873849994377e-01
1.502435745603244825e-03 4.807794385930383214e+02 8.194442312200727052e-01
1.602435745603245087e-03 5.127794385930384351e+02 8.520096744266486555e-01
1.702435745603245350e-03 5.447794385930384351e+02 8.852778753492545061e-01
1.802435745603245612e-03 5.767794385930385488e+02 9.194685314135518928e-01
1.902435745603245874e-03 6.087794385930386625e+02 9.546192886024186253e-01
2.002435745603246137e-03 6.407794385930387762e+02 9.905761770004413158e-01
2.102435745603246399e-03 6.727794385930388898e+02 1.027149277009623551e+00
2.202435745603246661e-03 7.047794385930390035e+02 1.063489863064339680e+00
2.306435745603247454e-03 7.380594385930392036e+02 1.100302439087589734e+00
2.400835745603248014e-03 7.682674385930394010e+02 1.133083211687174741e+00
2.506435745603245811e-03 8.020594385930387489e+02 1.169658636110998629e+00
2.604435745603244940e-03 8.334194385930383078e+02 1.203266195425872764e+00
2.704435745603245202e-03 8.654194385930385351e+02 1.237354156822960460e+00
2.804435745603245465e-03 8.974194385930385351e+02 1.271350784425456792e+00
2.904435745603245727e-03 9.294194385930385351e+02 1.304469791030232750e+00
3.000835745603246119e-03 9.602674385930387189e+02 1.335956748585752418e+00
3.104515745603247077e-03 9.934450385930390439e+02 1.369384697785632987e+00
3.207427745603245485e-03 1.026376878593038555e+03 1.403892621839352151e+00
3.303507745603244741e-03 1.057122478593038295e+03 1.436184212662780180e+00
3.403507745603245004e-03 1.089122478593038295e+03 1.469562496444713595e+00
3.503507745603245266e-03 1.121122478593038522e+03 1.502440225286150399e+00
3.603507745603245528e-03 1.153122478593038522e+03 1.534734615370529687e+00
3.703507745603245790e-03 1.185122478593038522e+03 1.566492273107945810e+00
3.803507745603246053e-03 1.217122478593038750e+03 1.597665990415423787e+00
3.903507745603246315e-03 1.249122478593038750e+03 1.628339446671613011e+00
4.003507745603242240e-03 1.281122478593037386e+03 1.658567084377729373e+00
4.103507745603238166e-03 1.313122478593036249e+03 1.688439628563924710e+00
4.203507745603234091e-03 1.345122478593034884e+03 1.718087714868913984e+00
4.303507745603230017e-03 1.377122478593033520e+03 1.747629705561771996e+00
4.403507745603225942e-03 1.409122478593032156e+03 1.777178057528129740e+00
4.503507745603221868e-03 1.441122478593031019e+03 1.806825825503021399e+00
4.603507745603217793e-03 1.473122478593029655e+03 1.836628256926630565e+00
4.703507745603213719e-03 1.505122478593028291e+03 1.866575640335488950e+00
4.803507745603209644e-03 1.537122478593026926e+03 1.896592551597349852e+00
4.903507745603205570e-03 1.569122478593025789e+03 1.926561342676109678e+00
5.003507745603201495e-03 1.601122478593024653e+03 1.956390302580117480e+00
5.103507745603197421e-03 1.633122478593023061e+03 1.986013165935477609e+00
5.203507745603193346e-03 1.665122478593021697e+03 2.015722427100734571e+00
5.303507745603189272e-03 1.697122478593020332e+03 2.047619611927626870e+00
5.403507745603185197e-03 1.729122478593019423e+03 2.079557204766651957e+00
5.503507745603181123e-03 1.761122478593018059e+03 2.110881265855205413e+00
5.603507745603177048e-03 1.793122478593016467e+03 2.141418379009870421e+00
5.703507745603172974e-03 1.825122478593015103e+03 2.171269324742039153e+00
5.803507745603168899e-03 1.857122478593014193e+03 2.200629189932645335e+00
5.903507745603164825e-03 1.889122478593012829e+03 2.229709028517718128e+00
6.003507745603160750e-03 1.921122478593011238e+03 2.258653293315044497e+00
6.103507745603156676e-03 1.953122478593009873e+03 2.287562250039029799e+00
6.203507745603152601e-03 1.985122478593008964e+03 2.316442539871505168e+00
6.303507745603148527e-03 2.017122478593007600e+03 2.345221108147557576e+00
6.403507745603144452e-03 2.049122478593006235e+03 2.373867775837487759e+00
6.503507745603140378e-03 2.081122478593004871e+03 2.402321778751850267e+00
6.603507745603136303e-03 2.113122478593003507e+03 2.430662641666205381e+00
6.703507745603132228e-03 2.145122478593002143e+03 2.458842864777330384e+00
6.803507745603128154e-03 2.177122478593000778e+03 2.486818838076228833e+00
6.903507745603124079e-03 2.209122478592999414e+03 2.514590965352213381e+00
7.003507745603120005e-03 2.241122478592998505e+03 2.542274945365261551e+00
7.103507745603115930e-03 2.273122478592997140e+03 2.569985607564898356e+00
7.203507745603111856e-03 2.305122478592995776e+03 2.597778984287884896e+00
7.303507745603107781e-03 2.337122478592994412e+03 2.625643989753629004e+00
7.403507745603103707e-03 2.369122478592993502e+03 2.653575767233919080e+00
7.503507745603099632e-03 2.401122478592991683e+03 2.681524241464473768e+00
7.603507745603095558e-03 2.433122478592990319e+03 2.709372171430922904e+00
7.703507745603091483e-03 2.465122478592988955e+03 2.737020347637693973e+00
7.803507745603087409e-03 2.497122478592988045e+03 2.764403107025906081e+00
7.903507745603083334e-03 2.529122478592986681e+03 2.791534638695624349e+00
