time error_arcsec
0.000000000000000000e+00 0.000000000000000000e+00
5.000000000000000104e-03 -2.832928217990914632e+01
1.000000000000000021e-02 -2.982185791912749195e+01
1.499999999999999944e-02 -2.961603542676390433e+01
2.000000000000000042e-02 -2.937035139477894319e+01
2.500000000000000139e-02 -2.914020409961075941e+01
2.999999999999999889e-02 -2.887145040898135306e+01
3.500000000000000333e-02 -2.853531694573790034e+01
4.000000000000000083e-02 -2.812852534711687369e+01
4.499999999999999833e-02 -2.770537945463852836e+01
5.000000000000000278e-02 -2.723911262458530658e+01
5.500000000000000028e-02 -2.682110226871714076e+01
5.999999999999999778e-02 -2.639440034540678681e+01
6.500000000000000222e-02 -2.591283203911440935e+01
7.000000000000000666e-02 -2.534356722668981377e+01
7.499999999999999722e-02 -2.466643936433202455e+01
8.000000000000000167e-02 -2.396599679847044584e+01
8.500000000000000611e-02 -2.309272719357602810e+01
8.999999999999999667e-02 -2.240597047294535926e+01
9.500000000000000111e-02 -2.181956070297450623e+01
1.000000000000000056e-01 -2.115057384145017494e+01
1.049999999999999961e-01 -2.038460996690833582e+01
1.100000000000000006e-01 -1.951355212842004150e+01
1.150000000000000050e-01 -1.832703389114854886e+01
1.199999999999999956e-01 -1.681131392909185251e+01
1.250000000000000000e-01 -1.508982320643585773e+01
1.300000000000000044e-01 -1.243934713287461236e+01
1.350000000000000089e-01 -3.077887161318010989e+00
1.400000000000000133e-01 1.324722627217365911e+01
1.449999999999999900e-01 1.236785337681155639e+01
1.499999999999999944e-01 3.605895824506077219e+01
1.549999999999999989e-01 3.225882382977422225e+01
1.600000000000000033e-01 3.030569258475489036e+01
1.650000000000000078e-01 2.963155505674886214e+01
1.700000000000000122e-01 2.587683687887180284e+01
1.750000000000000167e-01 2.178523340767356231e+01
1.799999999999999933e-01 1.941360604065003770e+01
1.849999999999999978e-01 1.870706058663173010e+01
1.900000000000000022e-01 2.032085605904600811e+01
1.950000000000000067e-01 2.329523008474121681e+01
2.000000000000000111e-01 2.797296892953131220e+01
2.050000000000000155e-01 2.654997415486425538e+01
2.099999999999999922e-01 2.491080926340059776e+01
2.149999999999999967e-01 2.381071228726843714e+01
2.200000000000000011e-01 2.187263977669096704e+01
2.250000000000000056e-01 1.966368904801784367e+01
2.300000000000000100e-01 1.860986107105851772e+01
2.350000000000000144e-01 1.714523838344392459e+01
2.399999999999999911e-01 1.579112734812185792e+01
2.449999999999999956e-01 1.430454651785023401e+01
2.500000000000000000e-01 1.328388453143893067e+01
2.550000000000000044e-01 1.430601641172923166e+01
2.600000000000000089e-01 1.930776126729280762e+01
2.650000000000000133e-01 2.880250452511665316e+01
2.700000000000000178e-01 2.555499176707211006e+01
2.750000000000000222e-01 3.044405563104614387e+01
2.800000000000000266e-01 3.222978794592586382e+01
2.850000000000000311e-01 3.790111306915360956e+01
2.899999999999999800e-01 3.632628705743855591e+01
2.949999999999999845e-01 3.575152061756819677e+01
2.999999999999999889e-01 3.448634719229384871e+01
3.049999999999999933e-01 3.206925386777746212e+01
3.099999999999999978e-01 2.963933110046307817e+01
3.150000000000000022e-01 3.009548628896236266e+01
3.200000000000000067e-01 2.923183888086905924e+01
3.250000000000000111e-01 2.813998483742188483e+01
3.300000000000000155e-01 2.712470604330443180e+01
3.350000000000000200e-01 2.608172008035361245e+01
3.400000000000000244e-01 2.533272799422470456e+01
3.450000000000000289e-01 2.485699692154259210e+01
3.500000000000000333e-01 2.478362114340054490e+01
3.549999999999999822e-01 2.443588225680318260e+01
3.599999999999999867e-01 2.361137530648775140e+01
3.649999999999999911e-01 2.233480085588539410e+01
3.699999999999999956e-01 2.109977723051454035e+01
3.750000000000000000e-01 2.184314610674877599e+01
3.800000000000000044e-01 3.162807779782912831e+01
3.850000000000000089e-01 4.584227223165170528e+01
3.900000000000000133e-01 4.614750099569052111e+01
3.950000000000000178e-01 4.532926555405329339e+01
4.000000000000000222e-01 4.284139291780423520e+01
4.050000000000000266e-01 3.984962659853891154e+01
4.100000000000000311e-01 3.667112402330175058e+01
4.150000000000000355e-01 3.304397694489542658e+01
4.199999999999999845e-01 3.662494407099418225e+01
4.249999999999999889e-01 3.524240028667464486e+01
