time torque_Nm angle_arcmin
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.009476748198116509e-04 3.230325594233972453e+01 3.271766783452307453e-02
2.012376705487454607e-04 6.439605457559855495e+01 9.117509308735008422e-02
3.024528475917699199e-04 9.678491122936637225e+01 2.097854784351914081e-01
4.014065399513037057e-04 1.284500927844171940e+02 3.770242516258851539e-01
5.001702969842154083e-04 1.600544950349489284e+02 4.658700955684833001e-01
6.006252058141402835e-04 1.922000658605248873e+02 4.930279935126288260e-01
7.034498411893982820e-04 2.251039491806074579e+02 5.198053008441891887e-01
8.009759530022098018e-04 2.563123049607071380e+02 5.536092248656290238e-01
9.000639801258973182e-04 2.880204736402871504e+02 5.951409851990934197e-01
1.003572691811141244e-03 3.211432613795652173e+02 6.406600056238097585e-01
1.101947371396798337e-03 3.526231588469754570e+02 6.811258586066702980e-01
1.202435745603244038e-03 3.847794385930380940e+02 7.186224652149021397e-01
1.302435745603244301e-03 4.167794385930381509e+02 7.534775417943758713e-01
1.402435745603244563e-03 4.487794385930382646e+02 7.868379873842304972e-01
1.502435745603244825e-03 4.807794385930383214e+02 8.194442312190323152e-01
1.602435745603245087e-03 5.127794385930384351e+02 8.520096744253864429e-01
1.702435745603245350e-03 5.447794385930384351e+02 8.852778753477297258e-01
1.802435745603245612e-03 5.767794385930385488e+02 9.194685314118586916e-01
1.902435745603245874e-03 6.087794385930386625e+02 9.546192886005793188e-01
2.002435745603246137e-03 6.407794385930387762e+02 9.905761769983807419e-01
2.102435745603246399e-03 6.727794385930388898e+02 1.027149277007435746e+00
2.202435745603246661e-03 7.047794385930390035e+02 1.063489863062091700e+00
2.306435745603247454e-03 7.380594385930392036e+02 1.100302439085401263e+00
2.400835745603248014e-03 7.682674385930394010e+02 1.133083211684879466e+00
2.506435745603245811e-03 8.020594385930387489e+02 1.169658636108708238e+00
2.604435745603244940e-03 8.334194385930383078e+02 1.203266195423569496e+00
2.704435745603245202e-03 8.654194385930385351e+02 1.237354156820629214e+00
2.804435745603245465e-03 8.974194385930385351e+02 1.271350784423195490e+00
2.904435745603245727e-03 9.294194385930385351e+02 1.304469791028245673e+00
3.000835745603246119e-03 9.602674385930387189e+02 1.335956748583863929e+00
3.104515745603247077e-03 9.934450385930390439e+02 1.369384697783843974e+00
3.207427745603245485e-03 1.026376878593038555e+03 1.403892621837566690e+00
3.303507745603244741e-03 1.057122478593038295e+03 1.436184212660960080e+00
3.403507745603245004e-03 1.089122478593038295e+03 1.469562496442841315e+00
