time R11 R12 R13 R21 R22 R23 R31 R32 R33
0.000000000000000000e+00 1.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
5.032305572043664979e-03 9.999999916992708959e-01 1.288466455032333366e-04 0.000000000000000000e+00 -1.288466455032333366e-04 9.999999916992708959e-01 -0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.005364966643989416e-02 9.999999914034579662e-01 1.311224010453544871e-04 0.000000000000000000e+00 -1.311224010453544871e-04 9.999999914034579662e-01 -0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.510168475688106887e-02 9.999999936219193808e-01 1.129431767180075159e-04 0.000000000000000000e+00 -1.129431767180075159e-04 9.999999936219193808e-01 -0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
2.010168475688104209e-02 9.999999961180667807e-01 8.811280388350120130e-05 0.000000000000000000e+00 -8.811280388350120130e-05 9.999999961180667807e-01 -0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
2.510168475688101183e-02 9.999999983938718806e-01 5.667676910850283454e-05 0.000000000000000000e+00 -5.667676910850283454e-05 9.999999983938718806e-01 -0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
3.010168475688098158e-02 9.999999998325358463e-01 1.830104428883643267e-05 0.000000000000000000e+00 -1.830104428883643267e-05 9.999999998325358463e-01 -0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
3.510168475688095480e-02 9.999999996325463769e-01 -2.710916513490049888e-05 0.000000000000000000e+00 2.710916513490049888e-05 9.999999996325463769e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
4.010168475688092454e-02 9.999999968342969670e-01 -7.957013215470123003e-05 0.000000000000000000e+00 7.957013215470123003e-05 9.999999968342969670e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
4.510168475688089429e-02 9.999999903646944466e-01 -1.388186256478022814e-04 0.000000000000000000e+00 1.388186256478022814e-04 9.999999903646944466e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
5.010168475688086404e-02 9.999999789877489498e-01 -2.049987842668654170e-04 0.000000000000000000e+00 2.049987842668654170e-04 9.999999789877489498e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
5.510168475688083378e-02 9.999999614580413754e-01 -2.776399024297494605e-04 0.000000000000000000e+00 2.776399024297494605e-04 9.999999614580413754e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
