time R11 R12 R13 R21 R22 R23 R31 R32 R33
0.000000000000000000e+00 1.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
5.040000000000002811e-03 9.999999908184983299e-01 1.355101583489566771e-04 0.000000000000000000e+00 -1.355101583489566771e-04 9.999999908184983299e-01 -0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.013600000000001305e-02 9.999999914309889437e-01 1.309122680894871701e-04 0.000000000000000000e+00 -1.309122680894871701e-04 9.999999914309889437e-01 -0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.513600000000002617e-02 9.999999936334085238e-01 1.128414054921157819e-04 0.000000000000000000e+00 -1.128414054921157819e-04 9.999999936334085238e-01 -0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
2.013600000000000112e-02 9.999999961355883205e-01 8.791372486097546589e-05 0.000000000000000000e+00 -8.791372486097546589e-05 9.999999961355883205e-01 -0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
2.513599999999997087e-02 9.999999984078797866e-01 5.642907281874459631e-05 0.000000000000000000e+00 -5.642907281874459631e-05 9.999999984078797866e-01 -0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
3.013599999999994061e-02 9.999999998372870458e-01 1.803955940244479473e-05 0.000000000000000000e+00 -1.803955940244479473e-05 9.999999998372870458e-01 -0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
3.513599999999991036e-02 9.999999996234500976e-01 -2.744266054982440171e-05 0.000000000000000000e+00 2.744266054982440171e-05 9.999999996234500976e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
4.013599999999988011e-02 9.999999968036388243e-01 -7.995450077906563608e-05 0.000000000000000000e+00 7.995450077906563608e-05 9.999999968036388243e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
4.513599999999984985e-02 9.999999903047958050e-01 -1.392494456983214921e-04 0.000000000000000000e+00 1.392494456983214921e-04 9.999999903047958050e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
