time torque_Nm angle_arcmin
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000048e-04 3.200000000000000000e+01 5.903884544147745828e-03
2.000000000000000096e-04 6.400000000000000000e+01 4.660908727982911864e-02
3.000000000000001363e-04 9.600000000000004263e+01 1.572031095101253939e-01
4.014235576320003985e-04 1.284555384422401403e+02 3.635203978814459669e-01
5.007057385220928161e-04 1.602258363270697146e+02 6.490793086234887266e-01
6.007364138769010018e-04 1.922356524406083054e+02 8.741032231853179679e-01
7.010718000483857730e-04 2.243429760154834582e+02 1.001099677867931970e+00
8.047704821746488489e-04 2.575265542958876495e+02 1.122661837157229225e+00
9.016201884680245023e-04 2.885184603097678178e+02 1.218627767750906532e+00
1.003499001113167212e-03 3.211196803562135074e+02 1.298903201650993378e+00
1.104698399206898969e-03 3.535034877462076679e+02 1.357756288673808598e+00
1.201476162060842543e-03 3.844723718594696038e+02 1.405514878210932572e+00
1.300065401364743946e-03 4.160209284367180658e+02 1.451047672903559294e+00
1.404302584571540330e-03 4.493768270628929145e+02 1.495431934973958432e+00
1.500781925997046263e-03 4.802502163190548004e+02 1.533832304704294769e+00
1.601932898691575506e-03 5.126185275813040789e+02 1.571055624860004940e+00
1.704302557804111048e-03 5.453768184973155257e+02 1.605797465907073729e+00
1.800120558733444382e-03 5.760385787947021754e+02 1.637639929841950615e+00
1.902669658404105820e-03 6.088542906893138706e+02 1.667981014566219944e+00
2.000050654357584789e-03 6.400162093944270509e+02 1.696794055317126571e+00
2.103791225557003017e-03 6.732131921782408881e+02 1.730730405280120010e+00
2.202523631250241816e-03 7.048075620000772687e+02 1.765249923959424816e+00
2.301109057832262817e-03 7.363548985063240480e+02 1.800334069913450685e+00
2.401109057832263079e-03 7.683548985063241616e+02 1.835464339732859385e+00
2.501109057832263342e-03 8.003548985063241616e+02 1.869843192085830497e+00
2.601109057832263604e-03 8.323548985063243890e+02 1.903524362790563362e+00
2.701109057832263866e-03 8.643548985063243890e+02 1.936625160193684803e+00
2.801109057832264129e-03 8.963548985063245027e+02 1.969353971031225781e+00
2.901109057832264391e-03 9.283548985063246164e+02 2.001965282173622462e+00
3.001109057832264653e-03 9.603548985063247301e+02 2.034506056944235475e+00
3.101109057832264915e-03 9.923548985063247301e+02 2.066797029511486361e+00
3.201109057832265178e-03 1.024354898506324844e+03 2.098800196750902014e+00
3.301109057832265440e-03 1.056354898506324844e+03 2.130507534414224580e+00
3.401109057832265702e-03 1.088354898506325071e+03 2.161876459062280986e+00
3.501109057832265965e-03 1.120354898506325071e+03 2.192871476398802422e+00
3.601109057832266227e-03 1.152354898506325299e+03 2.223478972506635287e+00
3.701109057832266489e-03 1.184354898506325299e+03 2.253677699203965989e+00
3.801109057832266751e-03 1.216354898506325299e+03 2.283574151068563651e+00
3.901109057832267014e-03 1.248354898506325526e+03 2.313261174581502821e+00
4.001109057832263373e-03 1.280354898506324162e+03 2.342803274619940535e+00
4.101109057832259298e-03 1.312354898506322797e+03 2.372396051344849432e+00
4.201109057832255224e-03 1.344354898506321661e+03 2.402180443612648375e+00
4.301109057832251149e-03 1.376354898506320296e+03 2.432091601273276282e+00
4.401109057832247075e-03 1.408354898506319159e+03 2.462096435724619781e+00
4.501109057832243000e-03 1.440354898506317568e+03 2.492098192394587741e+00
4.601109057832238926e-03 1.472354898506316431e+03 2.521964884050357458e+00
4.701109057832234851e-03 1.504354898506315067e+03 2.551693942791187997e+00
4.801109057832230777e-03 1.536354898506313930e+03 2.581121720632112648e+00
4.901109057832226702e-03 1.568354898506312338e+03 2.610165838042337150e+00
5.001109057832222628e-03 1.600354898506311201e+03 2.638872799294834870e+00
5.101109057832218553e-03 1.632354898506309837e+03 2.667309845850514893e+00
5.201109057832214479e-03 1.664354898506308473e+03 2.695628930192728312e+00
5.301109057832210404e-03 1.696354898506307336e+03 2.723931182705769061e+00
5.401109057832206330e-03 1.728354898506305972e+03 2.752306241287295396e+00
5.501109057832202255e-03 1.760354898506304608e+03 2.780826844116638163e+00
5.601109057832198181e-03 1.792354898506303243e+03 2.809515959335421531e+00
5.701109057832194106e-03 1.824354898506302106e+03 2.838336377695617418e+00
5.801109057832190032e-03 1.856354898506300742e+03 2.867208512823582911e+00
5.901109057832185957e-03 1.888354898506299378e+03 2.896012616960895070e+00
6.001109057832181883e-03 1.920354898506298014e+03 2.924557467678860156e+00
6.101109057832177808e-03 1.952354898506296877e+03 2.952681040370317422e+00
6.201109057832173733e-03 1.984354898506295513e+03 2.980376613915257877e+00
6.301109057832169659e-03 2.016354898506294148e+03 3.007703353010958480e+00
6.401109057832165584e-03 2.048354898506293011e+03 3.036769385692342560e+00
6.501109057832161510e-03 2.080354898506291647e+03 3.067195708229966566e+00
6.601109057832157435e-03 2.112354898506290283e+03 3.097241398448953298e+00
6.701109057832153361e-03 2.144354898506288919e+03 3.126513467454616446e+00
6.801109057832149286e-03 2.176354898506287554e+03 3.155167909757148781e+00
6.901109057832145212e-03 2.208354898506286645e+03 3.183469022390329695e+00
7.001109057832141137e-03 2.240354898506285281e+03 3.211625274451731293e+00
7.101109057832137063e-03 2.272354898506283917e+03 3.239728939378221373e+00
7.201109057832132988e-03 2.304354898506282552e+03 3.267765459806802664e+00
7.301109057832128914e-03 2.336354898506281188e+03 3.295596046480909092e+00
7.401109057832124839e-03 2.368354898506279824e+03 3.323065681929882498e+00
7.501109057832120765e-03 2.400354898506278460e+03 3.350147777941602456e+00
7.601109057832116690e-03 2.432354898506277095e+03 3.376883237061835352e+00
7.701109057832112616e-03 2.464354898506276186e+03 3.403309045416485379e+00
7.801109057832108541e-03 2.496354898506274822e+03 3.429507316537736106e+00
7.901109057832105334e-03 2.528354898506273457e+03 3.455609880665039491e+00
8.001109057832101260e-03 2.560354898506272093e+03 3.481760909051936359e+00
8.101109057832097185e-03 2.592354898506270729e+03 3.508071571887481532e+00
8.201109057832093110e-03 2.624354898506269819e+03 3.534575115164504844e+00
8.301109057832089036e-03 2.656354898506268455e+03 3.561263088768593654e+00
8.401109057832084961e-03 2.688354898506267091e+03 3.588078229655805806e+00
8.501109057832080887e-03 2.720354898506265727e+03 3.614925045367938683e+00
8.601109057832076812e-03 2.752354898506264817e+03 3.641691106262033628e+00
8.701109057832072738e-03 2.784354898506263453e+03 3.668272915245298194e+00
8.801109057832068663e-03 2.816354898506261634e+03 3.694600487397182054e+00
8.901109057832064589e-03 2.848354898506260270e+03 3.720651888067917135e+00
9.001109057832060514e-03 2.880354898506259360e+03 3.746456993364087218e+00
9.101109057832056440e-03 2.912354898506257996e+03 3.772091051799801420e+00
9.201109057832052365e-03 2.944354898506256632e+03 3.797660118682525177e+00
