time error_arcsec
0.000000000000000000e+00 0.000000000000000000e+00
5.000000000000000104e-03 -2.842698964779683379e+01
1.000000000000000021e-02 -2.981581467847677303e+01
1.499999999999999944e-02 -2.967190014399592712e+01
2.000000000000000042e-02 -2.937111640120856748e+01
2.500000000000000139e-02 -2.914010918835773367e+01
2.999999999999999889e-02 -2.887317444822313917e+01
3.500000000000000333e-02 -2.853563334619614977e+01
4.000000000000000083e-02 -2.812884970489296776e+01
4.499999999999999833e-02 -2.770567434617671054e+01
5.000000000000000278e-02 -2.723865628029867381e+01
5.500000000000000028e-02 -2.682096055196087292e+01
5.999999999999999778e-02 -2.639473351554944358e+01
6.500000000000000222e-02 -2.591287070306039553e+01
7.000000000000000666e-02 -2.534432741455649207e+01
7.499999999999999722e-02 -2.466637961462825501e+01
8.000000000000000167e-02 -2.396732506016630992e+01
8.500000000000000611e-02 -2.309326995697854201e+01
8.999999999999999667e-02 -2.240314025713100676e+01
9.500000000000000111e-02 -2.182042896796846776e+01
1.000000000000000056e-01 -2.115182563686492045e+01
1.049999999999999961e-01 -2.038591535690032330e+01
1.100000000000000006e-01 -1.951507840882902656e+01
1.150000000000000050e-01 -1.833934109766671838e+01
1.199999999999999956e-01 -1.681663025830838620e+01
1.250000000000000000e-01 -1.509422094213692311e+01
1.300000000000000044e-01 -1.239818404167301580e+01
1.350000000000000089e-01 -3.315665311252400826e+00
1.400000000000000133e-01 1.313305070012958176e+01
1.449999999999999900e-01 1.249578911779511259e+01
1.499999999999999944e-01 3.560758623039176740e+01
1.549999999999999989e-01 3.205712757419327374e+01
1.600000000000000033e-01 3.027416476452333427e+01
1.650000000000000078e-01 2.955112168818874352e+01
1.700000000000000122e-01 2.596082126847606730e+01
1.750000000000000167e-01 2.171968793233982353e+01
1.799999999999999933e-01 1.940540464453003366e+01
1.849999999999999978e-01 1.878772063870142972e+01
1.900000000000000022e-01 2.061282429612712264e+01
1.950000000000000067e-01 2.320214785251893019e+01
2.000000000000000111e-01 2.772968769008861045e+01
2.050000000000000155e-01 2.659316619453102248e+01
2.099999999999999922e-01 2.504052510488033079e+01
2.149999999999999967e-01 2.397613348082283125e+01
2.200000000000000011e-01 2.196874622057685400e+01
2.250000000000000056e-01 2.014478504315966134e+01
2.300000000000000100e-01 1.897105498213718633e+01
2.350000000000000144e-01 1.711847772718332195e+01
2.399999999999999911e-01 1.578844702540970601e+01
2.449999999999999956e-01 1.430384982487853307e+01
2.500000000000000000e-01 1.333703726349230578e+01
2.550000000000000044e-01 1.367086447085678635e+01
2.600000000000000089e-01 1.991256946197803046e+01
2.650000000000000133e-01 2.936835639461347114e+01
2.700000000000000178e-01 2.759973266530491642e+01
2.750000000000000222e-01 3.046247540457368075e+01
2.800000000000000266e-01 3.205326928941907738e+01
2.850000000000000311e-01 3.776813393201697266e+01
2.899999999999999800e-01 3.634236144496647825e+01
2.949999999999999845e-01 3.584065156254065698e+01
2.999999999999999889e-01 3.449327726904274272e+01
3.049999999999999933e-01 3.212571588524792787e+01
3.099999999999999978e-01 2.960269701415028010e+01
3.150000000000000022e-01 3.012433458294453104e+01
3.200000000000000067e-01 2.918788712031062360e+01
3.250000000000000111e-01 2.814317942582387744e+01
3.300000000000000155e-01 2.710164544232045358e+01
3.350000000000000200e-01 2.606606472154312115e+01
3.400000000000000244e-01 2.534064982462059845e+01
3.450000000000000289e-01 2.477763768343244521e+01
3.500000000000000333e-01 2.473510225990780143e+01
3.549999999999999822e-01 2.439433514767424427e+01
3.599999999999999867e-01 2.357787523836696053e+01
3.649999999999999911e-01 2.234284793837688099e+01
3.699999999999999956e-01 2.106239726870423823e+01
3.750000000000000000e-01 2.181654017121542566e+01
3.800000000000000044e-01 3.148080441255745399e+01
3.850000000000000089e-01 4.580293338539100745e+01
