time torque_Nm angle_arcmin
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.008228784499543977e-04 3.226332110398540465e+01 6.018044512952371722e-03
2.007174019286442530e-04 6.422956861716615151e+01 4.704245256966137906e-02
3.004781490428507255e-04 9.615300769371224021e+01 1.578538047818105472e-01
4.026726902565020447e-04 1.288552608820806711e+02 3.791390730230795314e-01
5.005336169945522919e-04 1.601707574382567145e+02 7.087031638126540800e-01
6.005739131494710475e-04 1.921836522078307326e+02 1.169924063328375397e+00
7.004513516440473691e-04 2.241444325260951587e+02 1.731517590159450393e+00
8.008041882758675650e-04 2.562573402482776146e+02 1.973992182695827990e+00
9.006634528131348674e-04 2.882123049002031507e+02 2.147011790293081201e+00
1.000423198423991064e-03 3.201354234956771165e+02 2.347734268278133474e+00
1.100890202560117536e-03 3.522848648192376118e+02 2.559224554106044547e+00
1.202431127600002512e-03 3.847779608320007583e+02 2.737493925267282524e+00
1.300063571945146799e-03 4.160203430224469230e+02 2.855311077336764924e+00
1.401161647056845547e-03 4.483717270581905723e+02 2.911537217120950150e+00
1.503269323608650730e-03 4.810461835547681630e+02 2.947714857440677072e+00
1.602237171538064414e-03 5.127158948921805859e+02 2.981043059128967609e+00
1.702565068420618848e-03 5.448208218945981116e+02 3.015578173362860603e+00
1.800978210669858899e-03 5.763130274143547922e+02 3.049514308477820457e+00
1.902475945824953557e-03 6.087923026639850832e+02 3.082928244308681620e+00
2.003649913539202326e-03 6.411679723325446503e+02 3.117178246951402443e+00
2.103514436891150332e-03 6.731246198051680949e+02 3.149282024842497307e+00
2.203484080793994670e-03 7.051149058540783017e+02 3.177663755690465663e+00
2.300496106801879371e-03 7.361587541766014056e+02 3.198572031625143808e+00
2.400811759251737527e-03 7.682597629605560314e+02 3.218996151798867444e+00
2.500090939269568758e-03 8.000291005662619455e+02 3.249126493064982135e+00
2.600172180135721430e-03 8.320550976434308268e+02 3.284821833426169402e+00
2.702164149482715657e-03 8.646925278344689332e+02 3.324927333965046472e+00
2.800106119440656707e-03 8.960339582210101526e+02 3.365130365702489801e+00
2.901164424806351901e-03 9.283726159380325953e+02 3.406441376793500453e+00
3.003202149871630252e-03 9.610246879589216178e+02 3.446421295427421150e+00
3.101927655589242598e-03 9.926168497885577153e+02 3.483338722935974907e+00
3.201935310731757536e-03 1.024619299434162485e+03 3.519496488893440134e+00
3.304250834839100523e-03 1.057360267148512094e+03 3.555814619723340009e+00
3.401181331361851235e-03 1.088378026035792345e+03 3.590035640680885987e+00
3.502727565814256743e-03 1.120872821060562046e+03 3.625767908457459221e+00
3.600581209922937374e-03 1.152185987175339960e+03 3.659993231862269880e+00
3.700281149203477841e-03 1.184089967745112745e+03 3.694533768633021964e+00
3.806627751102719445e-03 1.218120880352870017e+03 3.730986379041136836e+00
3.906327690383256009e-03 1.250024860922641892e+03 3.764746422777486057e+00
4.007356962187535489e-03 1.282354227900011438e+03 3.798659866214793457e+00
4.104664102925340181e-03 1.313492512936108824e+03 3.831133253376283410e+00
4.201233656292793946e-03 1.344394770013693915e+03 3.863305754883289644e+00
4.301233656292789871e-03 1.376394770013692778e+03 3.896751238145792051e+00
4.401233656292785797e-03 1.408394770013691414e+03 3.930493955965556285e+00
4.501233656292781722e-03 1.440394770013690277e+03 3.964637332170087181e+00
4.601233656292777648e-03 1.472394770013688685e+03 3.999163488171817882e+00
4.701233656292773573e-03 1.504394770013687548e+03 4.033737725459016765e+00
4.801233656292769499e-03 1.536394770013686184e+03 4.067799230507803010e+00
4.901233656292765424e-03 1.568394770013685047e+03 4.101048409151011320e+00
5.001233656292761350e-03 1.600394770013683683e+03 4.133248138340141153e+00
5.101233656292757275e-03 1.632394770013682319e+03 4.164259182833281336e+00
5.201233656292753200e-03 1.664394770013680954e+03 4.194074514530260700e+00
5.301233656292749126e-03 1.696394770013679590e+03 4.222900342700928178e+00
