time R11 R12 R13 R21 R22 R23 R31 R32 R33
0.000000000000000000e+00 1.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
9.999999999999990992e-05 9.999999999999992228e-01 -3.564939744788090779e-08 0.000000000000000000e+00 3.564939744788090779e-08 9.999999999999992228e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.999999999999996301e-04 9.999999999999708011e-01 -2.410035418576518101e-07 0.000000000000000000e+00 2.410035418576518101e-07 9.999999999999708011e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
2.999999999999993774e-04 9.999999999991147082e-01 1.330568626103456526e-06 0.000000000000000000e+00 -1.330568626103456526e-06 9.999999999991147082e-01 -0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
3.999999999999990976e-04 9.999999997158448561e-01 2.383925257805556399e-05 0.000000000000000000e+00 -2.383925257805556399e-05 9.999999997158448561e-01 -0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
4.999999999999991430e-04 9.999999979571650988e-01 6.391924286902772752e-05 0.000000000000000000e+00 -6.391924286902772752e-05 9.999999979571650988e-01 -0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
6.000000000000015737e-04 9.999999943861470619e-01 1.059608684162751513e-04 0.000000000000000000e+00 -1.059608684162751513e-04 9.999999943861470619e-01 -0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
7.000000000000040044e-04 9.999999897803082405e-01 1.429663703532395443e-04 0.000000000000000000e+00 -1.429663703532395443e-04 9.999999897803082405e-01 -0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
8.000000000000064351e-04 9.999999851194368850e-01 1.725141316709192802e-04 0.000000000000000000e+00 -1.725141316709192802e-04 9.999999851194368850e-01 -0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
9.000000000000088658e-04 9.999999810083736174e-01 1.948929257000530464e-04 0.000000000000000000e+00 -1.948929257000530464e-04 9.999999810083736174e-01 -0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.000000000000011297e-03 9.999999775275046909e-01 2.120023343373431373e-04 0.000000000000000000e+00 -2.120023343373431373e-04 9.999999775275046909e-01 -0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.100000000000013727e-03 9.999999739639725549e-01 2.281930187498258449e-04 0.000000000000000000e+00 -2.281930187498258449e-04 9.999999739639725549e-01 -0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.200000000000016158e-03 9.999999701721620227e-01 2.442451121628159581e-04 0.000000000000000000e+00 -2.442451121628159581e-04 9.999999701721620227e-01 -0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.300000000000018589e-03 9.999999652946057749e-01 2.634592699307915990e-04 0.000000000000000000e+00 -2.634592699307915990e-04 9.999999652946057749e-01 -0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.400000000000021019e-03 9.999999601267715033e-01 2.823941482197407280e-04 0.000000000000000000e+00 -2.823941482197407280e-04 9.999999601267715033e-01 -0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.500000000000023450e-03 9.999999557956871232e-01 2.973358767262426826e-04 0.000000000000000000e+00 -2.973358767262426826e-04 9.999999557956871232e-01 -0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.600000000000025881e-03 9.999999529023506639e-01 3.069125219552225922e-04 0.000000000000000000e+00 -3.069125219552225922e-04 9.999999529023506639e-01 -0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.700000000000028311e-03 9.999999513168255083e-01 3.120358091372692883e-04 0.000000000000000000e+00 -3.120358091372692883e-04 9.999999513168255083e-01 -0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.800000000000030742e-03 9.999999507092464102e-01 3.139769173499544529e-04 0.000000000000000000e+00 -3.139769173499544529e-04 9.999999507092464102e-01 -0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
