time torque_Nm angle_arcmin
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000048e-04 3.200000000000000000e+01 5.903884528226262945e-03
2.016800000000000884e-04 6.453760000000002606e+01 4.774352311672935140e-02
3.009904276488191378e-04 9.631693684762213081e+01 9.071503007480204162e-02
4.024737324114280356e-04 1.287915943716569700e+02 2.622237670829835176e-03
5.014599248812737784e-04 1.604671759620076159e+02 -1.033234890342399348e-01
6.042873725812927593e-04 1.933719592260137006e+02 -2.013303764112524818e-01
7.005135870202739085e-04 2.241643478464876580e+02 -2.581343126823898992e-01
8.024732409228164725e-04 2.567914370953012622e+02 -2.735007770701526342e-01
9.026144173486194645e-04 2.888366135515582300e+02 -2.550876035305138512e-01
1.003354138736968233e-03 3.210733243958298431e+02 -2.190596571731092679e-01
1.100706412405723627e-03 3.522260519698315875e+02 -1.847286521005916393e-01
1.200816611532952048e-03 3.842613156905446203e+02 -1.562937142362635368e-01
1.303492134512815011e-03 4.171174830441008226e+02 -1.285657471662486895e-01
1.406205198817350602e-03 4.499856636215521348e+02 -1.048824881316170327e-01
1.506755882820737550e-03 4.821618825026359900e+02 -8.384247454114943099e-02
1.605948016886237254e-03 5.139033654035958989e+02 -6.363870346863077787e-02
1.705948016886237517e-03 5.459033654035960126e+02 -4.295428411791665790e-02
1.805948016886237779e-03 5.779033654035960126e+02 -2.142116185698457811e-02
1.905948016886238041e-03 6.099033654035961263e+02 1.442052518057703164e-03
2.004348016886238915e-03 6.413913654035964100e+02 2.508294775410995978e-02
2.101628016886241020e-03 6.725209654035970743e+02 4.920806449179702946e-02
2.201468016886240064e-03 7.044697654035967389e+02 7.458520098573100110e-02
2.301308016886238240e-03 7.364185654035961761e+02 1.015379224982320139e-01
2.401308016886238503e-03 7.684185654035962898e+02 1.306927943683669213e-01
2.501308016886238765e-03 8.004185654035964035e+02 1.615308562540685999e-01
2.601308016886239027e-03 8.324185654035965172e+02 1.933148557647399179e-01
2.701308016886239290e-03 8.644185654035965172e+02 2.254488702333687367e-01
2.801308016886239552e-03 8.964185654035967445e+02 2.575871149016303874e-01
2.901308016886239814e-03 9.284185654035967445e+02 2.895103674548271666e-01
3.001308016886240077e-03 9.604185654035967445e+02 3.213734867828308972e-01
3.101308016886240339e-03 9.924185654035968582e+02 3.534474351382284607e-01
3.201308016886240601e-03 1.024418565403597086e+03 3.857928638077031125e-01
3.301308016886240863e-03 1.056418565403597086e+03 4.184237764642951274e-01
3.401308016886241126e-03 1.088418565403597086e+03 4.513518705467569614e-01
3.501308016886241388e-03 1.120418565403597313e+03 4.851742041354041857e-01
3.601308016886241650e-03 1.152418565403597313e+03 5.199623117086822344e-01
3.701308016886241913e-03 1.184418565403597313e+03 5.547259459116684610e-01
3.801308016886242175e-03 1.216418565403597540e+03 5.891526686056300921e-01
3.901308016886242437e-03 1.248418565403597540e+03 6.231497309834135301e-01
4.001308016886238363e-03 1.280418565403596176e+03 6.566985575242317852e-01
4.101308016886234288e-03 1.312418565403595039e+03 6.900896618896547041e-01
4.201308016886230214e-03 1.344418565403593675e+03 7.252681277261467940e-01
4.301308016886226139e-03 1.376418565403592311e+03 7.606221292762184172e-01
4.401308016886222065e-03 1.408418565403590947e+03 7.955624565213306187e-01
4.501308016886217990e-03 1.440418565403589810e+03 8.298167370275100208e-01
4.601308016886213915e-03 1.472418565403588445e+03 8.632906239535417248e-01
4.701308016886209841e-03 1.504418565403587081e+03 8.961628650776295446e-01
4.801308016886205766e-03 1.536418565403585717e+03 9.286481807857681625e-01
4.901308016886201692e-03 1.568418565403584580e+03 9.609023887422060151e-01
5.001308016886197617e-03 1.600418565403583216e+03 9.929944585344434582e-01
5.101308016886193543e-03 1.632418565403581852e+03 1.024939931189233766e+00
5.201308016886189468e-03 1.664418565403580487e+03 1.056744044670793636e+00
5.301308016886185394e-03 1.696418565403579123e+03 1.088392809730782673e+00
5.401308016886181319e-03 1.728418565403578214e+03 1.119860872338074520e+00
