frequency[Hz],flange_omega_z[rad/s],flange_alpha_z[rad/s2],cycloid_acc_xy[m/s2]
0.000000000000000000e+00,1.271549453827204134e-04,2.324043674985728017e-02,1.057804832431472469e-01
1.176445591011230363e+00,7.577433937577610827e-05,1.489033817482022029e-02,1.268962044665823408e-01
2.352891182022460725e+00,3.139397485187416084e-05,3.719733029150146513e-03,5.776605627456671277e-02
3.529336773033691088e+00,3.433367774902320202e-05,3.985915982562743438e-03,3.553162117928380243e-02
4.705782364044921451e+00,2.831257289769520486e-05,3.243339665410700096e-03,2.662620708665984492e-02
5.882227955056151814e+00,1.923940719583862861e-05,1.756958851291242230e-03,3.488829577772700752e-02
7.058673546067382176e+00,1.421146845868454825e-05,6.846230506245943410e-04,3.157138360930730747e-02
8.235119137078612539e+00,1.514759756657523987e-05,2.475018053842377875e-03,3.336611277619785931e-02
9.411564728089842902e+00,2.046450297284918069e-05,4.821968125331827643e-03,2.780820505183201341e-02
1.058801031910107326e+01,3.233193494309172245e-05,7.644445872513718973e-03,1.662378909553538509e-02
1.176445591011230363e+01,4.813551515856397264e-05,1.078997991018078653e-02,8.770975182992562375e-03
1.294090150112353399e+01,6.318072739039759067e-05,1.387362138952148542e-02,1.606056955391969333e-03
1.411734709213476435e+01,7.589578500246109654e-05,1.668976393976263906e-02,8.765089941739722876e-03
1.529379268314599472e+01,8.882151255712788043e-05,1.950346537669911395e-02,1.750926547143012019e-02
1.647023827415722508e+01,1.066606163437141966e-04,2.293313370524135628e-02,5.073864575203322451e-03
1.764668386516845544e+01,1.280597438202875100e-04,2.710296272793876263e-02,2.876021481480996872e-02
1.882312945617968580e+01,1.485369751970077841e-04,3.158631691321427820e-02,2.599303262690536021e-02
1.999957504719091617e+01,1.651213043841653948e-04,3.586484957439726312e-02,1.840141109473471259e-02
2.117602063820214653e+01,1.810714894917946332e-04,4.001229993352795056e-02,8.327959605328212264e-03
2.235246622921337689e+01,1.954378295087335043e-04,4.356722555523865476e-02,6.558224919788577419e-03
2.352891182022460725e+01,2.137262711378835683e-04,4.705464569613617559e-02,2.156120501587590558e-03
