time[s],flange_omega_x[rad/s],flange_omega_y[rad/s],flange_omega_z[rad/s],flange_alpha_x[rad/s2],flange_alpha_y[rad/s2],flange_alpha_z[rad/s2],cycloid_acc_x[m/s2],cycloid_acc_y[m/s2],cycloid_acc_z[m/s2],input_omega_x[rad/s],input_omega_y[rad/s],input_omega_z[rad/s],crank_omega_z[rad/s]
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.701947378638139526e+03,-9.007359125380502007e+01,1.802990128583228397e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000002950e-05,0.000000000000000000e+00,0.000000000000000000e+00,6.590405254548385543e-03,0.000000000000000000e+00,0.000000000000000000e+00,7.523481204505885422e+00,2.488340914028400164e+01,1.849355646440186618e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.410004617822327999e-01,-9.355327300465082763e-02
9.999999999999982861e-05,0.000000000000000000e+00,0.000000000000000000e+00,7.760993470994496761e-03,0.000000000000000000e+00,0.000000000000000000e+00,3.067729626564936041e+01,6.852206301437190561e+00,1.422385695997569321e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.820000010888882302e-01,-1.315454378772654698e-01
1.507812499999995756e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.667499090575600376e-03,0.000000000000000000e+00,0.000000000000000000e+00,4.570348608687099556e+01,1.092929734674362052e+00,7.030977350062662445e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.252031250025443132e-01,-1.197605820253729997e-01
2.039062499999996336e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.230760238543269526e-02,0.000000000000000000e+00,0.000000000000000000e+00,5.288501390520505652e+01,1.122665800482506304e+00,4.853518893649136245e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.750156250052039786e-01,-1.834588466599396117e-01
2.539062499999995750e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.524377812225496433e-02,0.000000000000000000e+00,0.000000000000000000e+00,5.457467526312797901e+01,5.160908038195809233e+00,4.086642811897030825e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.160156250030910163e-01,-2.368062840725271845e-01
3.101562499999995599e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.758340686369039979e-02,0.000000000000000000e+00,0.000000000000000000e+00,9.376719585953107128e+01,-5.043308511760502100e+00,-1.547358998020792242e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.746406250015728023e-01,-2.934364056455474046e-01
3.601562499999994742e-04,0.000000000000000000e+00,0.000000000000000000e+00,2.394594498599720081e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.488488206489231516e+02,-3.959520228415968290e+00,-6.602800569414342569e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.015640625000821418e+00,-3.414591165488268243e-01
4.226562499999994213e-04,0.000000000000000000e+00,0.000000000000000000e+00,3.363542225791341100e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.544890640458822872e+02,1.351150371730264421e+00,-1.119878385156518341e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.191890625000324722e+00,-4.025764052096449386e-01
4.539062499999994491e-04,0.000000000000000000e+00,0.000000000000000000e+00,3.784480356327412504e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.219696375430305153e+02,2.633648447809524562e+00,-1.296033467496976321e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.280004700413849505e+00,-4.339543703122125673e-01
5.039062499999994718e-04,0.000000000000000000e+00,0.000000000000000000e+00,4.330855334258245509e-02,0.000000000000000000e+00,0.000000000000000000e+00,9.917128790997621479e+01,2.200319120721999422e+00,-1.444995166219774418e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.420973300914304627e+00,-4.756803502895069480e-01
5.601562499999995651e-04,0.000000000000000000e+00,0.000000000000000000e+00,4.861123877378381586e-02,0.000000000000000000e+00,0.000000000000000000e+00,8.528585154368275312e+01,1.807271611285671042e+00,-1.354104577940515242e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.579678884280530049e+00,-5.246247983876322074e-01
6.101562499999996962e-04,0.000000000000000000e+00,0.000000000000000000e+00,5.235758970817296770e-02,0.000000000000000000e+00,0.000000000000000000e+00,5.642706002081531125e+01,1.963967475808627849e+00,-1.105284781953629114e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.720672609696838773e+00,-5.749962430670376712e-01
6.601562499999998274e-04,0.000000000000000000e+00,0.000000000000000000e+00,5.453968036491039367e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.051162706628038279e+01,2.414088696309373727e+00,-7.187808880857089910e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.861666125953372442e+00,-6.180870915007357080e-01
7.101562499999998501e-04,0.000000000000000000e+00,0.000000000000000000e+00,5.701270413324650149e-02,0.000000000000000000e+00,0.000000000000000000e+00,5.912095137581594884e+01,4.002335111173829674e+00,-3.648897857939658707e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.002620878834806994e+00,-6.661011209039476855e-01
7.601562499999997644e-04,0.000000000000000000e+00,0.000000000000000000e+00,6.003719287906248564e-02,0.000000000000000000e+00,0.000000000000000000e+00,5.535640572184806985e+01,5.292610241672882410e+00,-9.758393367931098572e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.143625424465632978e+00,-7.172271634062195034e-01
8.101562499999996787e-04,0.000000000000000000e+00,0.000000000000000000e+00,6.305411777087496783e-02,0.000000000000000000e+00,0.000000000000000000e+00,6.471501508091782284e+01,5.720773250525551745e+00,8.417963082435648836e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.284628955593288602e+00,-7.676502354433689668e-01
8.601562499999995930e-04,0.000000000000000000e+00,0.000000000000000000e+00,6.639033911091603291e-02,0.000000000000000000e+00,0.000000000000000000e+00,6.663757282218885791e+01,4.241094044632868432e+00,2.352969233622447476e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.425631693631721042e+00,-8.112384152649640967e-01
9.101562499999995073e-04,0.000000000000000000e+00,0.000000000000000000e+00,6.918581815919311317e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.670912392153346104e+01,1.384869519467744725e+00,3.212195477728191140e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.566633812481101007e+00,-8.570239415400942029e-01
9.539062499999993510e-04,0.000000000000000000e+00,0.000000000000000000e+00,7.099064958932055358e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.702745457196680690e+01,2.038115860923080280e+00,4.184232011065145862e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.689933282429119554e+00,-8.998378371675511689e-01
1.003906249999999157e-03,0.000000000000000000e+00,0.000000000000000000e+00,7.265821530151632401e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.967530984034396013e+01,3.899321902075865154e+00,4.990556535886478073e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.830850261345751129e+00,-9.464897728385669451e-01
1.053906249999998854e-03,0.000000000000000000e+00,0.000000000000000000e+00,7.380008925603633030e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.488775984082018766e+01,4.711027180668303949e+00,5.098910908314822521e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.971766877028627185e+00,-9.997295642028631857e-01
1.110156249999998514e-03,0.000000000000000000e+00,0.000000000000000000e+00,7.394889608523322333e-02,0.000000000000000000e+00,0.000000000000000000e+00,-1.140319235482669491e+01,4.151342775684191189e+00,3.768955183695807065e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.130837913307943587e+00,-1.044377519815683941e+00
1.153906249999998249e-03,0.000000000000000000e+00,0.000000000000000000e+00,7.297299426516344611e-02,0.000000000000000000e+00,0.000000000000000000e+00,-3.113263099633815401e+01,1.985641356446890438e+00,1.588559878441350159e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.253725401747125101e+00,-1.081760725739684847e+00
1.203906249999997947e-03,0.000000000000000000e+00,0.000000000000000000e+00,7.125999995386107788e-02,0.000000000000000000e+00,0.000000000000000000e+00,-3.631844570232616576e+01,1.798537757637499235e+00,3.327372033382047234e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.394787547938187267e+00,-1.129557738673102607e+00
1.253906249999997644e-03,0.000000000000000000e+00,0.000000000000000000e+00,6.942927732358573911e-02,0.000000000000000000e+00,0.000000000000000000e+00,-3.534443977246610302e+01,1.523269430814024661e+00,-8.824328539500854163e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.536246064949472689e+00,-1.177091184731966500e+00
1.303906249999997342e-03,0.000000000000000000e+00,0.000000000000000000e+00,6.775024878773845682e-02,0.000000000000000000e+00,0.000000000000000000e+00,-3.281102495791990492e+01,-2.102306786885055345e+00,-2.302196442350362027e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.677257809865279725e+00,-1.225986883256938276e+00
1.353906249999997039e-03,0.000000000000000000e+00,0.000000000000000000e+00,6.607387789745856888e-02,0.000000000000000000e+00,0.000000000000000000e+00,-3.707008362485361630e+01,-1.287616746542791013e+00,-2.147727546528912068e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.818201246880773780e+00,-1.273012781716996278e+00
