time[s],flange_omega_x[rad/s],flange_omega_y[rad/s],flange_omega_z[rad/s],flange_alpha_x[rad/s2],flange_alpha_y[rad/s2],flange_alpha_z[rad/s2],cycloid_acc_x[m/s2],cycloid_acc_y[m/s2],cycloid_acc_z[m/s2],input_omega_x[rad/s],input_omega_y[rad/s],input_omega_z[rad/s],crank_omega_z[rad/s]
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.701947378638141345e+03,-9.007359125380503428e+01,1.802990128583227829e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000001595e-05,0.000000000000000000e+00,0.000000000000000000e+00,6.642489777076382093e-03,0.000000000000000000e+00,0.000000000000000000e+00,-1.786717188555400924e+02,3.637938262149125990e+01,1.640661858255841921e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.409797144887676712e-01,-1.081694432730575389e-01
1.031250000000000130e-04,0.000000000000000000e+00,0.000000000000000000e+00,7.613300921953176058e-03,0.000000000000000000e+00,0.000000000000000000e+00,-2.677249572492296537e+01,9.806916882236947908e-01,1.551145022326502598e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.908076656924081238e-01,-1.254719874204485719e-01
1.593750000000000114e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.487065743795337208e-03,0.000000000000000000e+00,0.000000000000000000e+00,5.854712563511839107e+00,-6.488694671153776738e+00,9.319607492649222280e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.494377928560773228e-01,-1.252750215473187878e-01
2.093750000000000342e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.238347066021110512e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.925367487043210701e+01,-4.995738995242683167e+00,6.310959644959849513e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.904363069047163792e-01,-1.898030849586354041e-01
2.593750000000000027e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.486518001324832472e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.702267563812491602e+01,-3.360269069214489424e+00,2.957300902801583753e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.314358083554325374e-01,-2.407372388941392549e-01
3.093749999999999170e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.882858612399477063e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.219053691493284504e+02,2.692681560367106708e-01,-8.608815301751805427e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.724357938123971090e-01,-2.925605578791313222e-01
3.718749999999999183e-04,0.000000000000000000e+00,0.000000000000000000e+00,2.564692580043144779e-02,0.000000000000000000e+00,0.000000000000000000e+00,8.920107379611516762e+01,3.808035767348080025e+00,-6.357526651391061989e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.048689001663873688e+00,-3.528482115235458960e-01
4.093749999999998540e-04,0.000000000000000000e+00,0.000000000000000000e+00,2.959418476281609756e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.085209657502668819e+02,5.742179624626612799e+00,-9.772818071973125242e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.154239762351125131e+00,-3.891077740900445447e-01
4.593749999999997683e-04,0.000000000000000000e+00,0.000000000000000000e+00,3.433937932046407515e-02,0.000000000000000000e+00,0.000000000000000000e+00,8.679842784461979477e+01,5.848947826459943933e+00,-1.220697208493480268e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.295135741088245140e+00,-4.384878474242871471e-01
5.218749999999996612e-04,0.000000000000000000e+00,0.000000000000000000e+00,4.015168409383640391e-02,0.000000000000000000e+00,0.000000000000000000e+00,9.014161068085223860e+01,4.337426933163402332e+00,-1.287575627219947449e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.471378268833563485e+00,-4.909011590332129638e-01
5.718749999999995755e-04,0.000000000000000000e+00,0.000000000000000000e+00,4.522645341536821184e-02,0.000000000000000000e+00,0.000000000000000000e+00,9.775674106912435946e+01,4.066012909478943449e+00,-1.197363581052610826e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.612393932685532105e+00,-5.350914370667547715e-01
6.218749999999994898e-04,0.000000000000000000e+00,0.000000000000000000e+00,5.055691462050026369e-02,0.000000000000000000e+00,0.000000000000000000e+00,9.666927069987018228e+01,4.574003934097642166e+00,-9.752324202708054557e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.753414807518856033e+00,-5.829759744061326909e-01
