time[s],flange_omega_x[rad/s],flange_omega_y[rad/s],flange_omega_z[rad/s],flange_alpha_x[rad/s2],flange_alpha_y[rad/s2],flange_alpha_z[rad/s2],cycloid_acc_x[m/s2],cycloid_acc_y[m/s2],cycloid_acc_z[m/s2],input_omega_x[rad/s],input_omega_y[rad/s],input_omega_z[rad/s],crank_omega_z[rad/s]
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.943184580896384272e-13,-3.072324283990767643e-09,-5.961229885218218005e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000048e-04,0.000000000000000000e+00,0.000000000000000000e+00,2.007565714215316186e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.996011754903047719e-02,-1.659221853348780072e-09,-5.469473560382858562e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.044579557318606050e-01,-3.148435452233475096e-02
2.000000000000000096e-04,0.000000000000000000e+00,0.000000000000000000e+00,6.775091211246791658e-06,0.000000000000000000e+00,0.000000000000000000e+00,5.564559118387260583e-02,1.708196596351042351e-09,-4.075487572697873706e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.099107491373579937e-01,-7.355868425742027872e-02
3.000000000000000279e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.270063626514658471e-05,0.000000000000000000e+00,0.000000000000000000e+00,6.272090769649947550e-02,3.124203393578200141e-09,-2.009251662315134079e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.135230928466273825e-01,-1.018082256235977728e-01
4.000000000000000192e-04,0.000000000000000000e+00,0.000000000000000000e+00,2.037963949876817884e-05,0.000000000000000000e+00,0.000000000000000000e+00,9.086337698198954094e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.196424274934610343e-01,-1.415407181238900192e-01
5.000000000000000104e-04,0.000000000000000000e+00,0.000000000000000000e+00,3.168566761056412708e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.351767434448477578e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.227399427066237170e-01,-1.745580424805670272e-01
6.000000000000000559e-04,0.000000000000000000e+00,0.000000000000000000e+00,4.664882905053393039e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.642180604951842537e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.292460702409680140e-01,-2.076584238622850853e-01
7.000000000000001013e-04,0.000000000000000000e+00,0.000000000000000000e+00,6.344480625715589854e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.717089049350246088e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.320643693384586426e-01,-2.459913052494075714e-01
8.000000000000001468e-04,0.000000000000000000e+00,0.000000000000000000e+00,8.136803939936895096e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.867144053102108014e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.387597836421297748e-01,-2.784740580931771015e-01
9.000000000000001922e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.020040226073493908e-04,0.000000000000000000e+00,0.000000000000000000e+00,2.259195457155306619e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.414635316085261385e-01,-3.147361312564726510e-01
