time[s],flange_omega_x[rad/s],flange_omega_y[rad/s],flange_omega_z[rad/s],flange_alpha_x[rad/s2],flange_alpha_y[rad/s2],flange_alpha_z[rad/s2],cycloid_acc_x[m/s2],cycloid_acc_y[m/s2],cycloid_acc_z[m/s2],input_omega_x[rad/s],input_omega_y[rad/s],input_omega_z[rad/s],crank_omega_z[rad/s]
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.195836599232643130e+04,-9.007359125380500586e+01,1.802990128583227829e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000917e-05,0.000000000000000000e+00,0.000000000000000000e+00,8.310402878010169497e-03,0.000000000000000000e+00,0.000000000000000000e+00,-6.053321352014405932e+01,3.660607424302480695e+01,2.588863931687385289e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.409980509203477284e-01,-1.122095143587566596e-01
1.031250000000000265e-04,0.000000000000000000e+00,0.000000000000000000e+00,7.823713333209756163e-03,0.000000000000000000e+00,0.000000000000000000e+00,4.195450526583881867e+01,6.818138118383179069e-01,1.976569470227650527e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.908117092059258613e-01,-1.259812759818104699e-01
1.593750000000000386e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.159891560651724225e-02,0.000000000000000000e+00,0.000000000000000000e+00,8.118723894440722688e+01,-1.015110088581089265e+01,8.278289961603780611e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.494384541965588120e-01,-1.285737726520796154e-01
2.093750000000000613e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.550377577289137679e-02,0.000000000000000000e+00,0.000000000000000000e+00,7.684542338668134676e+01,-9.162706579107567251e+00,-2.520913095725201836e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.904383402172478368e-01,-1.848292534872462978e-01
2.593750000000000569e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.954394009140218713e-02,0.000000000000000000e+00,0.000000000000000000e+00,8.293474951204187562e+01,-4.372215256245191028e+00,-7.514710744373492624e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.314381917827408319e-01,-2.360029198569121855e-01
3.093749999999999712e-04,0.000000000000000000e+00,0.000000000000000000e+00,2.352331579200861444e-02,0.000000000000000000e+00,0.000000000000000000e+00,7.953788525422751832e+01,2.024953848951433155e+00,-1.115774912167293920e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.726730045181323447e-01,-2.877746830095718189e-01
3.593749999999998855e-04,0.000000000000000000e+00,0.000000000000000000e+00,2.754615133909832370e-02,0.000000000000000000e+00,0.000000000000000000e+00,8.042285074439737969e+01,6.938989700042003328e+00,-1.358502867903936284e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.013746231238903839e+00,-3.372259382294592323e-01
4.218749999999998326e-04,0.000000000000000000e+00,0.000000000000000000e+00,3.212602876130067620e-02,0.000000000000000000e+00,0.000000000000000000e+00,6.801191602610455789e+01,9.512524753150167101e+00,-1.212196674523078599e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.189987144165670863e+00,-4.022583329211944503e-01
4.718749999999998553e-04,0.000000000000000000e+00,0.000000000000000000e+00,3.517072801600939352e-02,0.000000000000000000e+00,0.000000000000000000e+00,6.002041553334675683e+01,7.479229781741573824e+00,-8.882803472389058541e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.330964554810449174e+00,-4.492834492775386601e-01
