time[s],flange_omega_x[rad/s],flange_omega_y[rad/s],flange_omega_z[rad/s],flange_alpha_x[rad/s2],flange_alpha_y[rad/s2],flange_alpha_z[rad/s2],cycloid_acc_x[m/s2],cycloid_acc_y[m/s2],cycloid_acc_z[m/s2],input_omega_x[rad/s],input_omega_y[rad/s],input_omega_z[rad/s],crank_omega_z[rad/s]
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.701947378638139526e+03,-9.007359125380499165e+01,1.802990128583228397e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000240e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.069170009155033865e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.299231358265154199e+02,3.313441481640124664e+01,1.543343220335765942e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.409955176019781486e-01,-6.920013437017034919e-02
1.031249999999999723e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.231438152103208651e-02,0.000000000000000000e+00,0.000000000000000000e+00,-4.126908933722059913e+01,1.247240891033481169e+01,1.639762552592621248e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.908124196429995312e-01,-9.745007269821899520e-02
1.531249999999999408e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.030759639265626387e-02,0.000000000000000000e+00,0.000000000000000000e+00,-2.608375360639079332e+01,1.549813044060804890e+00,1.083847768635593312e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.318129707459464894e-01,-1.286848700386824806e-01
2.093749999999998986e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.694063537064966443e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.057811491878334564e+01,-2.103197273383997923e-01,6.242256530685883043e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.904370823540371349e-01,-1.914250377802036718e-01
2.593749999999998943e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.026703430461349362e-03,0.000000000000000000e+00,0.000000000000000000e+00,2.941895197739732026e+01,6.035961807878224006e-01,2.587518926616996673e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.314371716227122677e-01,-2.431709101490228953e-01
3.093749999999998086e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.431815713845479079e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.440413326968134982e+02,8.117016131172448690e-01,-1.370283998573176731e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.724372488862150998e-01,-2.929121139744831903e-01
3.593749999999998313e-04,0.000000000000000000e+00,0.000000000000000000e+00,2.133545040579556268e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.362729173342463014e+02,6.971117051352795357e-01,-4.587949332794587498e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.013437310649280665e+00,-3.379860488629866100e-01
4.093749999999997456e-04,0.000000000000000000e+00,0.000000000000000000e+00,2.772671564897793289e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.217319705294554097e+02,1.024201713347159481e+00,-9.084715458160074419e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.154437358759172971e+00,-3.945358686430124329e-01
4.593749999999996599e-04,0.000000000000000000e+00,0.000000000000000000e+00,3.363361490673526938e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.130702203705668296e+02,1.991154933620190359e+00,-1.291868602381590492e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.295437396173066302e+00,-4.332499380883526596e-01
