time[s],flange_omega_x[rad/s],flange_omega_y[rad/s],flange_omega_z[rad/s],flange_alpha_x[rad/s2],flange_alpha_y[rad/s2],flange_alpha_z[rad/s2],cycloid_acc_x[m/s2],cycloid_acc_y[m/s2],cycloid_acc_z[m/s2],input_omega_x[rad/s],input_omega_y[rad/s],input_omega_z[rad/s],crank_omega_z[rad/s]
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.493317145955382875e+04,-9.007359125380502007e+01,1.802990128583228397e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.078124999999999767e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.381756866235067660e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.810255430230978746e+01,3.623521864776690915e-01,3.819985795079662694e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.432034980044278039e-01,-5.528256160896110466e-02
1.039062499999999947e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.422481852239531643e-02,0.000000000000000000e+00,0.000000000000000000e+00,-8.997406427018606934e+00,9.985098697563024928e+00,2.686359769207535564e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.930153923117959081e-01,-7.811952670957600375e-02
1.539062499999999361e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.308654724351843504e-02,0.000000000000000000e+00,0.000000000000000000e+00,-3.311910344860655186e+01,1.001863464766296374e+01,5.302538473087691884e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.340153943539170056e-01,-1.213576389853743553e-01
2.039062499999999317e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.178057870466631303e-02,0.000000000000000000e+00,0.000000000000000000e+00,-1.260119410026864450e+01,6.899428911304128498e+00,-1.070104497555380618e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.750157890143959838e-01,-1.835896658479778953e-01
2.539062499999999545e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.163086951822348350e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.100724450396093523e+01,3.886806317536366961e+00,-1.757345484288051907e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.160157400965529995e-01,-2.417217223553100036e-01
3.164062499999999016e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.212621977113587449e-02,0.000000000000000000e+00,0.000000000000000000e+00,7.162489582065250104e+00,2.522282605139550160e+00,-1.664461408724910285e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.922656982950045723e-01,-2.953040151406022829e-01
3.539062499999998373e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.258462467690568860e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.647510477846303800e+01,2.337411682323294215e+00,-1.477752049575650695e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.978207466106421286e-01,-3.307773097287619035e-01
4.039062499999997516e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.389201908836622083e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.889764661602031381e+01,1.855451889099061002e+00,-1.120956704403734960e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.138717332416111727e+00,-3.836082713452701465e-01
4.539062499999996659e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.568658487486505534e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.839043106683686801e+01,1.488941925152203583e+00,-7.536578222999677834e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.279708094227968829e+00,-4.317123868231798056e-01
5.039062499999995802e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.794129523106467727e-02,0.000000000000000000e+00,0.000000000000000000e+00,5.185913099030643991e+01,1.593690696880852409e+00,-4.540634275849670054e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.421293365641281170e+00,-4.763032668087707200e-01
5.539062499999994945e-04,0.000000000000000000e+00,0.000000000000000000e+00,2.081211586529992802e-02,0.000000000000000000e+00,0.000000000000000000e+00,6.254465737875049314e+01,2.160519682010603404e+00,-2.458604386005029063e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.562261317880280664e+00,-5.215655290477939632e-01
6.039062499999994088e-04,0.000000000000000000e+00,0.000000000000000000e+00,2.412983634975401914e-02,0.000000000000000000e+00,0.000000000000000000e+00,6.918681195903043601e+01,3.142931623617569059e+00,-1.191153152243566327e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.703231421831325365e+00,-5.680791508467927242e-01
6.539062499999993231e-04,0.000000000000000000e+00,0.000000000000000000e+00,2.766257039452427180e-02,0.000000000000000000e+00,0.000000000000000000e+00,7.058871945050887575e+01,4.077362028912517644e+00,-5.059572850831159929e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.844204016767987842e+00,-6.142209263260488550e-01
7.039062499999992374e-04,0.000000000000000000e+00,0.000000000000000000e+00,3.120868407350563603e-02,0.000000000000000000e+00,0.000000000000000000e+00,6.984751729863523906e+01,4.875286081366418500e+00,-1.472146153897488652e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.985179235363117467e+00,-6.614816120155079249e-01
