Knotennummer	X-Position (m)	Y-Position (m)	Z-Position (m)	
1	0,	0,1959844447	0,1	
3	-2,5e-016	0,1594883335	0,1	
4	-5,e-016	0,1229922224	0,1	
5	-7,5e-016	8,649611118e-002	0,1	
17	0,	0,1959844447	0,15	
23	-2,5e-016	0,1594883335	0,15	
24	-5,e-016	0,1229922224	0,15	
25	-7,5e-016	8,649611118e-002	0,15	
31	0,	0,1959844447	0,125	
2	-1,e-015	5,e-002	0,1	
22	-1,e-015	5,e-002	0,15	
34	-1,e-015	5,e-002	0,125	
6	0,1385819299	0,1385819299	0,1	
12	7,214548247e-002	7,214548247e-002	0,1	
13	9,429096494e-002	9,429096494e-002	0,1	
14	0,1164364474	0,1164364474	0,1	
16	0,1385819299	0,1385819299	0,15	
28	7,214548247e-002	7,214548247e-002	0,15	
29	9,429096494e-002	9,429096494e-002	0,15	
30	0,1164364474	0,1164364474	0,15	
32	0,1385819299	0,1385819299	0,125	
7	0,1108655439	0,1500624328	0,1	
8	8,314915793e-002	0,1615429358	0,1	
9	5,543277195e-002	0,1730234388	0,1	
10	2,771638598e-002	0,1845039418	0,1	
18	0,1108655439	0,1500624328	0,15	
19	8,314915793e-002	0,1615429358	0,15	
20	5,543277195e-002	0,1730234388	0,15	
21	2,771638598e-002	0,1845039418	0,15	
285	4,222426414e-002	0,1077754988	0,15	
286	4,222426414e-002	0,1077754988	0,1	
287	3,612917413e-002	7,066498153e-002	0,1252674399	
288	3,185881645e-002	0,1523181705	0,1228502865	
289	8,635824312e-002	0,1263874625	0,1254669298	
11	5,e-002	5,e-002	0,1	
26	5,e-002	5,e-002	0,15	
33	5,e-002	5,e-002	0,125	
15	2,5e-002	5,e-002	0,1	
27	2,5e-002	5,e-002	0,15	
35	5,e-002	-1,e-015	0,1	
37	5,e-002	-1,e-015	0,15	
38	5,e-002	-1,e-015	0,125	
36	5,e-002	2,5e-002	0,1	
39	5,e-002	2,5e-002	0,15	
40	0,1959844447	0,	0,15	
41	0,1594883335	-2,5e-016	0,15	
42	0,1229922224	-5,e-016	0,15	
43	8,649611118e-002	-7,5e-016	0,15	
48	0,1959844447	0,	0,1	
49	0,1959844447	0,	0,125	
54	0,1594883335	-2,5e-016	0,1	
55	0,1229922224	-5,e-016	0,1	
56	8,649611118e-002	-7,5e-016	0,1	
44	0,1845039418	2,771638598e-002	0,15	
45	0,1730234388	5,543277195e-002	0,15	
46	0,1615429358	8,314915793e-002	0,15	
47	0,1500624328	0,1108655439	0,15	
50	0,1845039418	2,771638598e-002	0,1	
51	0,1730234388	5,543277195e-002	0,1	
52	0,1615429358	8,314915793e-002	0,1	
53	0,1500624328	0,1108655439	0,1	
283	0,1077754988	4,222426414e-002	0,1	
284	0,1077754988	4,222426414e-002	0,15	
290	7,684894902e-002	3,176133455e-002	0,125	
291	0,1275719471	8,217196128e-002	0,1257069869	
292	0,1520585128	2,796521291e-002	0,1250705124	
57	5,e-002	-5,e-002	0,1	
59	5,e-002	-5,e-002	0,15	
60	5,e-002	-5,e-002	0,125	
58	5,e-002	-2,5e-002	0,1	
61	5,e-002	-2,5e-002	0,15	
62	0,1385819299	-0,1385819299	0,1	
63	7,214548247e-002	-7,214548247e-002	0,1	
64	9,429096494e-002	-9,429096494e-002	0,1	
65	0,1164364474	-0,1164364474	0,1	
66	0,1385819299	-0,1385819299	0,15	
67	0,1385819299	-0,1385819299	0,125	
68	7,214548247e-002	-7,214548247e-002	0,15	
69	9,429096494e-002	-9,429096494e-002	0,15	
70	0,1164364474	-0,1164364474	0,15	
71	0,1500624328	-0,1108655439	0,15	
72	0,1615429358	-8,314915793e-002	0,15	
73	0,1730234388	-5,543277195e-002	0,15	
74	0,1845039418	-2,771638598e-002	0,15	
75	0,1500624328	-0,1108655439	0,1	
76	0,1615429358	-8,314915793e-002	0,1	
77	0,1730234388	-5,543277195e-002	0,1	
78	0,1845039418	-2,771638598e-002	0,1	
281	0,1077754988	-4,222426414e-002	0,1	
282	0,1077754988	-4,222426414e-002	0,15	
293	7,684894902e-002	-3,190845638e-002	0,125	
