Knotennummer	X-Position (m)	Y-Position (m)	Z-Position (m)	
1	-4,996003611e-016	-4,996003611e-016	0,15	
2	-4,996003611e-016	-4,996003611e-016	1,e-001	
3	-7,763690558e-011	2,126337301e-014	5,00000007e-002	
4	-2,51534904e-016	-2,463307336e-016	0,2	
5	-1,335737077e-016	-1,196959198e-016	0,25	
6	-7,806255642e-017	-7,806255642e-017	0,3	
7	-4,163336342e-017	-2,949029909e-017	0,35	
8	-2,428612866e-017	-2,255140519e-017	0,4	
9	-1,387778781e-017	2,124515841e-014	0,45	
10	-5,588575921e-010	5,e-002	5,000000037e-002	
14	-5,e-002	5,e-002	5,e-002	
15	-5,e-002	5,e-002	0,	
16	5,e-002	5,e-002	5,e-002	
17	0,	5,e-002	0,	
18	5,e-002	5,e-002	0,	
19	3,725290215e-010	-5,e-002	5,000000037e-002	
20	-5,e-002	-5,e-002	0,	
22	-5,e-002	-5,e-002	5,e-002	
25	5,e-002	-5,e-002	5,e-002	
26	5,e-002	-5,e-002	0,	
27	0,	-5,e-002	0,	
28	-5,e-002	-3,725290285e-010	5,000000056e-002	
29	-5,e-002	0,	0,	
31	0,	6,379272111e-014	0,	
32	5,e-002	0,	0,	
33	5,e-002	3,725290215e-010	5,000000037e-002	
35	-3,469446952e-017	5,e-002	0,45	
36	-3,469446952e-017	5,e-002	0,4	
37	-5,551115123e-017	5,e-002	0,35	
38	-1,387778781e-016	5,e-002	0,3	
39	-2,498001805e-016	5,e-002	0,25	
40	-5,273559367e-016	5,e-002	0,2	
44	-5,e-002	5,e-002	0,5	
45	0,	5,e-002	0,5	
46	5,e-002	5,e-002	0,5	
47	5,e-002	5,e-002	0,45	
48	5,e-002	5,e-002	0,4	
49	-5,e-002	5,e-002	0,45	
50	-5,e-002	5,e-002	0,4	
51	5,e-002	5,e-002	0,35	
52	5,e-002	5,e-002	0,3	
53	-5,e-002	5,e-002	0,35	
54	-5,e-002	5,e-002	0,3	
55	-5,e-002	5,e-002	0,25	
56	-5,e-002	5,e-002	0,2	
57	5,e-002	5,e-002	0,25	
58	5,e-002	5,e-002	0,2	
59	2,775557562e-017	-5,e-002	0,2	
60	-1,387778781e-017	-5,e-002	0,25	
61	-1,387778781e-017	-5,e-002	0,3	
62	-2,775557562e-017	-5,e-002	0,35	
63	-1,387778781e-017	-5,e-002	0,4	
64	0,	-5,e-002	0,45	
65	-5,e-002	-5,e-002	0,5	
66	5,e-002	-5,e-002	0,5	
67	0,	-5,e-002	0,5	
71	5,e-002	-5,e-002	0,25	
72	5,e-002	-5,e-002	0,2	
73	-5,e-002	-5,e-002	0,25	
74	-5,e-002	-5,e-002	0,2	
75	5,e-002	-5,e-002	0,35	
76	5,e-002	-5,e-002	0,3	
77	-5,e-002	-5,e-002	0,35	
78	-5,e-002	-5,e-002	0,3	
79	5,e-002	-5,e-002	0,45	
80	5,e-002	-5,e-002	0,4	
81	-5,e-002	-5,e-002	0,45	
82	-5,e-002	-5,e-002	0,4	
83	5,e-002	-4,163336342e-017	0,45	
84	5,e-002	-3,469446952e-017	0,4	
85	5,e-002	-6,938893904e-017	0,35	
86	5,e-002	-1,595945598e-016	0,3	
87	5,e-002	-2,567390744e-016	0,25	
88	5,e-002	-4,926614672e-016	0,2	
89	5,e-002	0,	0,5	
91	0,	6,379341499e-014	0,5	
92	-5,e-002	0,	0,5	
93	-5,e-002	-6,938893904e-018	0,45	
94	-5,e-002	-1,387778781e-017	0,4	
95	-5,e-002	6,938893904e-018	0,35	
96	-5,e-002	0,	0,3	
97	-5,e-002	1,387778781e-017	0,25	
98	-5,e-002	-6,938893904e-018	0,2	
11	5,e-002	5,e-002	0,1	
43	5,e-002	5,e-002	0,15	
12	-1,e-015	5,e-002	0,1	
42	-1,e-015	5,e-002	0,15	
13	-5,e-002	5,e-002	0,1	
41	-5,e-002	5,e-002	0,15	
21	-5,e-002	-5,e-002	0,1	
68	-5,e-002	-5,e-002	0,15	
23	0,	-5,e-002	0,1	
69	0,	-5,e-002	0,15	
24	5,e-002	-5,e-002	0,1	
70	5,e-002	-5,e-002	0,15	
30	-5,e-002	0,	0,1	
99	-5,e-002	0,	0,15	
34	5,e-002	-1,e-015	0,1	
90	5,e-002	-1,e-015	0,15	
100	-0,1385819299	0,1385819299	0,15	
108	-0,1385819299	0,1385819299	0,1	
101	-0,1959844447	0,	0,15	
109	-0,1959844447	0,	0,1	
102	-0,1385819299	-0,1385819299	0,15	
110	-0,1385819299	-0,1385819299	0,1	
103	0,	-0,1959844447	0,15	
111	0,	-0,1959844447	0,1	
104	0,1385819299	-0,1385819299	0,15	
112	0,1385819299	-0,1385819299	0,1	
105	0,1959844447	0,	0,15	
113	0,1959844447	0,	0,1	
106	0,1385819299	0,1385819299	0,15	
114	0,1385819299	0,1385819299	0,1	
107	0,	0,1959844447	0,15	
115	0,	0,1959844447	0,1	
